tot dma issue compute
15858799 1561728 2104763 10951642
12426005 1056810 496734 10003463
12459683 1069219 492544 10026480
12424978 1064091 494259 10005989
12436075 1072223 492073 9998714
12434519 1061368 490721 10013923
12446249 1068527 487677 10013016
5446283 213144 147835 4829070
11958992 755547 189425 10116836
838706 137363 115074 528456
11952725 725022 189708 10161163
11913727 691744 188875 10170708
11953882 717535 191094 10171121
11884145 706316 187875 10127723
11933423 738415 187727 10127598
11901125 700958 189728 10178982
6385178 613011 93487 5194600
12516845 1191873 90895 10342338
725546 77679 54317 548162
12504548 1176757 89869 10355623
12561997 1267953 91055 10281635
12486916 1119708 95513 10394004
12560959 1242209 91280 10311694
12496450 1227474 91429 10271125
12675182 1271634 94439 10403226
12585563 1295345 91180 10296237
12652076 1264899 93228 10394092
12582197 1260605 91028 10339392
12636862 1291097 92488 10338704
6599867 394437 44603 5640006
13170656 860540 44978 11269568
702368 39428 24377 602691
13160531 815494 44311 11270076
13088417 810915 44270 11231277
13161596 833496 45145 11277869
13076392 754442 45041 11299703
