info function time diff
data_in_copy_map-gemm-12544-64-1sgemm_nt_kern sgemm_nt_kern 129.999212000 0.743489000
enter_omp-gemm-12544-64-147 sgemm_nt_kern 130.742701000 0.025577000
offload_wait __tgt_rtl_run_target_team_region 130.768278000 0.330756000
offload_return __tgt_rtl_run_target_team_region 131.099034000 0.017571000
exit_omp-12544-64-147 sgemm_nt_kern 131.116605000 4.516879000
data_in_copy_map-gemm-3136-64-57sgemm_nt_kern sgemm_nt_kern 135.633484000 0.439582000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 136.073066000 0.022898000
offload_wait __tgt_rtl_run_target_team_region 136.095964000 0.413299000
offload_return __tgt_rtl_run_target_team_region 136.509263000 0.009627000
exit_omp-3136-64-576 sgemm_nt_kern 136.518890000 1.505095000
data_in_copy_map-gemm-3136-64-57sgemm_nt_kern sgemm_nt_kern 138.023985000 0.449668000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 138.473653000 0.012068000
offload_wait __tgt_rtl_run_target_team_region 138.485721000 0.413384000
offload_return __tgt_rtl_run_target_team_region 138.899105000 0.010950000
exit_omp-3136-64-576 sgemm_nt_kern 138.910055000 1.789221000
data_in_copy_map-gemm-3136-64-57sgemm_nt_kern sgemm_nt_kern 140.699276000 0.434764000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 141.134040000 0.014511000
offload_wait __tgt_rtl_run_target_team_region 141.148551000 0.397910000
offload_return __tgt_rtl_run_target_team_region 141.546461000 0.009714000
exit_omp-3136-64-576 sgemm_nt_kern 141.556175000 1.506371000
data_in_copy_map-gemm-3136-64-57sgemm_nt_kern sgemm_nt_kern 143.062546000 0.440158000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 143.502704000 0.014399000
offload_wait __tgt_rtl_run_target_team_region 143.517103000 0.412501000
offload_return __tgt_rtl_run_target_team_region 143.929604000 0.009716000
exit_omp-3136-64-576 sgemm_nt_kern 143.939320000 1.771680000
data_in_copy_map-gemm-3136-64-57sgemm_nt_kern sgemm_nt_kern 145.711000000 0.453543000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 146.164543000 0.018596000
offload_wait __tgt_rtl_run_target_team_region 146.183139000 0.405605000
offload_return __tgt_rtl_run_target_team_region 146.588744000 0.009754000
exit_omp-3136-64-576 sgemm_nt_kern 146.598498000 1.527955000
data_in_copy_map-gemm-3136-64-57sgemm_nt_kern sgemm_nt_kern 148.126453000 0.437588000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 148.564041000 0.014459000
offload_wait __tgt_rtl_run_target_team_region 148.578500000 0.402331000
offload_return __tgt_rtl_run_target_team_region 148.980831000 0.010365000
exit_omp-3136-64-576 sgemm_nt_kern 148.991196000 1.016546000
data_in_copy_map-gemm-784-128-57sgemm_nt_kern sgemm_nt_kern 150.007742000 0.136951000
enter_omp-gemm-784-128-576 sgemm_nt_kern 150.144693000 0.015245000
offload_wait __tgt_rtl_run_target_team_region 150.159938000 0.179839000
offload_return __tgt_rtl_run_target_team_region 150.339777000 0.009729000
exit_omp-784-128-576 sgemm_nt_kern 150.349506000 0.793473000
data_in_copy_map-gemm-784-128-11sgemm_nt_kern sgemm_nt_kern 151.142979000 0.255472000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 151.398451000 0.015049000
offload_wait __tgt_rtl_run_target_team_region 151.413500000 0.393152000
offload_return __tgt_rtl_run_target_team_region 151.806652000 0.009755000
exit_omp-784-128-1152 sgemm_nt_kern 151.816407000 0.206150000
data_in_copy_map-gemm-784-128-64sgemm_nt_kern sgemm_nt_kern 152.022557000 0.038927000
enter_omp-gemm-784-128-64 sgemm_nt_kern 152.061484000 0.012129000
offload_wait __tgt_rtl_run_target_team_region 152.073613000 0.033324000
offload_return __tgt_rtl_run_target_team_region 152.106937000 0.009181000
exit_omp-784-128-64 sgemm_nt_kern 152.116118000 0.911802000
data_in_copy_map-gemm-784-128-11sgemm_nt_kern sgemm_nt_kern 153.027920000 0.255992000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 153.283912000 0.012079000
offload_wait __tgt_rtl_run_target_team_region 153.295991000 0.390999000
offload_return __tgt_rtl_run_target_team_region 153.686990000 0.009743000
exit_omp-784-128-1152 sgemm_nt_kern 153.696733000 0.758465000
data_in_copy_map-gemm-784-128-11sgemm_nt_kern sgemm_nt_kern 154.455198000 0.248112000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 154.703310000 0.015112000
offload_wait __tgt_rtl_run_target_team_region 154.718422000 0.382449000
offload_return __tgt_rtl_run_target_team_region 155.100871000 0.009783000
exit_omp-784-128-1152 sgemm_nt_kern 155.110654000 0.909179000
data_in_copy_map-gemm-784-128-11sgemm_nt_kern sgemm_nt_kern 156.019833000 0.248329000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 156.268162000 0.012048000
offload_wait __tgt_rtl_run_target_team_region 156.280210000 0.394960000
offload_return __tgt_rtl_run_target_team_region 156.675170000 0.011146000
exit_omp-784-128-1152 sgemm_nt_kern 156.686316000 0.786688000
data_in_copy_map-gemm-784-128-11sgemm_nt_kern sgemm_nt_kern 157.473004000 0.247991000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 157.720995000 0.012476000
offload_wait __tgt_rtl_run_target_team_region 157.733471000 0.391601000
offload_return __tgt_rtl_run_target_team_region 158.125072000 0.009739000
exit_omp-784-128-1152 sgemm_nt_kern 158.134811000 0.904927000
data_in_copy_map-gemm-784-128-11sgemm_nt_kern sgemm_nt_kern 159.039738000 0.257278000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 159.297016000 0.012118000
offload_wait __tgt_rtl_run_target_team_region 159.309134000 0.395886000
offload_return __tgt_rtl_run_target_team_region 159.705020000 0.010395000
exit_omp-784-128-1152 sgemm_nt_kern 159.715415000 0.768107000
data_in_copy_map-gemm-784-128-11sgemm_nt_kern sgemm_nt_kern 160.483522000 0.243611000
