tot dma issue compute
20056763 1945819 2199401 14716478
986440 135047 297420 442296
1129997 273223 324618 395661
3549397 418102 421993 2447962
1114582 117594 320365 562529
1131655 273104 323091 399366
3554525 424739 416845 2447266
1664272 218046 314810 1016285
2182958 470695 391493 1127329
10918013 724448 541251 9076554
704563 58180 87487 513243
546748 113168 101831 283275
2750639 181608 135732 2286654
959813 87907 85780 741173
915004 168081 115346 567792
5688314 230650 169921 5033846
1368089 108106 88669 1113323
919664 167445 116837 571698
5692844 235117 168072 5036363
1940750 156624 105486 1548940
1486649 249886 148259 994962
10202563 437259 188672 9073766
634073 53582 31222 500074
362684 56239 39890 240276
2490272 116632 52193 2178696
8460449 369966 149099 7500938
