info function time diff
data_in_copy_map-gemm-11881-96-1sgemm_nt_kern sgemm_nt_kern 41.210055000 0.630783000
enter_omp-gemm-11881-96-147 sgemm_nt_kern 41.840838000 0.013381000
offload_wait __tgt_rtl_run_target_team_region 41.854219000 0.654517000
offload_return __tgt_rtl_run_target_team_region 42.508736000 0.009743000
exit_omp-11881-96-147 sgemm_nt_kern 42.518479000 3.464582000
data_in_copy_map-gemm-2916-16-96sgemm_nt_kern sgemm_nt_kern 45.983061000 0.076454000
enter_omp-gemm-2916-16-96 sgemm_nt_kern 46.059515000 0.012595000
offload_wait __tgt_rtl_run_target_team_region 46.072110000 0.033092000
offload_return __tgt_rtl_run_target_team_region 46.105202000 0.010143000
exit_omp-2916-16-96 sgemm_nt_kern 46.115345000 0.146497000
data_in_copy_map-gemm-2916-64-16sgemm_nt_kern sgemm_nt_kern 46.261842000 0.056745000
enter_omp-gemm-2916-64-16 sgemm_nt_kern 46.318587000 0.012184000
offload_wait __tgt_rtl_run_target_team_region 46.330771000 0.038999000
offload_return __tgt_rtl_run_target_team_region 46.369770000 0.009721000
exit_omp-2916-64-16 sgemm_nt_kern 46.379491000 0.597646000
data_in_copy_map-gemm-2916-64-14sgemm_nt_kern sgemm_nt_kern 46.977137000 0.139142000
enter_omp-gemm-2916-64-144 sgemm_nt_kern 47.116279000 0.016096000
offload_wait __tgt_rtl_run_target_team_region 47.132375000 0.119635000
offload_return __tgt_rtl_run_target_team_region 47.252010000 0.010194000
exit_omp-2916-64-144 sgemm_nt_kern 47.262204000 0.539974000
data_in_copy_map-gemm-2916-16-12sgemm_nt_kern sgemm_nt_kern 47.802178000 0.093601000
enter_omp-gemm-2916-16-128 sgemm_nt_kern 47.895779000 0.012319000
offload_wait __tgt_rtl_run_target_team_region 47.908098000 0.038485000
offload_return __tgt_rtl_run_target_team_region 47.946583000 0.013539000
exit_omp-2916-16-128 sgemm_nt_kern 47.960122000 0.148632000
data_in_copy_map-gemm-2916-64-16sgemm_nt_kern sgemm_nt_kern 48.108754000 0.054889000
enter_omp-gemm-2916-64-16 sgemm_nt_kern 48.163643000 0.012195000
offload_wait __tgt_rtl_run_target_team_region 48.175838000 0.042899000
offload_return __tgt_rtl_run_target_team_region 48.218737000 0.009200000
exit_omp-2916-64-16 sgemm_nt_kern 48.227937000 0.568199000
data_in_copy_map-gemm-2916-64-14sgemm_nt_kern sgemm_nt_kern 48.796136000 0.136209000
enter_omp-gemm-2916-64-144 sgemm_nt_kern 48.932345000 0.014812000
offload_wait __tgt_rtl_run_target_team_region 48.947157000 0.118266000
offload_return __tgt_rtl_run_target_team_region 49.065423000 0.011440000
exit_omp-2916-64-144 sgemm_nt_kern 49.076863000 0.568830000
data_in_copy_map-gemm-2916-32-12sgemm_nt_kern sgemm_nt_kern 49.645693000 0.104793000
enter_omp-gemm-2916-32-128 sgemm_nt_kern 49.750486000 0.014622000
offload_wait __tgt_rtl_run_target_team_region 49.765108000 0.056804000
offload_return __tgt_rtl_run_target_team_region 49.821912000 0.009514000
exit_omp-2916-32-128 sgemm_nt_kern 49.831426000 0.301254000
data_in_copy_map-gemm-2916-128-3sgemm_nt_kern sgemm_nt_kern 50.132680000 0.109161000
enter_omp-gemm-2916-128-32 sgemm_nt_kern 50.241841000 0.012656000
offload_wait __tgt_rtl_run_target_team_region 50.254497000 0.074730000
offload_return __tgt_rtl_run_target_team_region 50.329227000 0.010111000
exit_omp-2916-128-32 sgemm_nt_kern 50.339338000 1.175802000
data_in_copy_map-gemm-2916-128-2sgemm_nt_kern sgemm_nt_kern 51.515140000 0.262788000
enter_omp-gemm-2916-128-288 sgemm_nt_kern 51.777928000 0.012291000
offload_wait __tgt_rtl_run_target_team_region 51.790219000 0.360056000
offload_return __tgt_rtl_run_target_team_region 52.150275000 0.010186000
exit_omp-2916-128-288 sgemm_nt_kern 52.160461000 2.414051000
data_in_copy_map-gemm-729-32-256sgemm_nt_kern sgemm_nt_kern 54.574512000 0.053901000
enter_omp-gemm-729-32-256 sgemm_nt_kern 54.628413000 0.012637000
offload_wait __tgt_rtl_run_target_team_region 54.641050000 0.026004000
offload_return __tgt_rtl_run_target_team_region 54.667054000 0.010917000
exit_omp-729-32-256 sgemm_nt_kern 54.677971000 0.078293000
data_in_copy_map-gemm-729-128-32sgemm_nt_kern sgemm_nt_kern 54.756264000 0.031406000
enter_omp-gemm-729-128-32 sgemm_nt_kern 54.787670000 0.014150000
offload_wait __tgt_rtl_run_target_team_region 54.801820000 0.020501000
offload_return __tgt_rtl_run_target_team_region 54.822321000 0.009203000
exit_omp-729-128-32 sgemm_nt_kern 54.831524000 0.280470000
data_in_copy_map-gemm-729-128-28sgemm_nt_kern sgemm_nt_kern 55.111994000 0.080723000
enter_omp-gemm-729-128-288 sgemm_nt_kern 55.192717000 0.018335000
offload_wait __tgt_rtl_run_target_team_region 55.211052000 0.091742000
offload_return __tgt_rtl_run_target_team_region 55.302794000 0.009738000
exit_omp-729-128-288 sgemm_nt_kern 55.312532000 0.284774000
data_in_copy_map-gemm-729-48-256sgemm_nt_kern sgemm_nt_kern 55.597306000 0.057044000
enter_omp-gemm-729-48-256 sgemm_nt_kern 55.654350000 0.012561000
offload_wait __tgt_rtl_run_target_team_region 55.666911000 0.030864000
offload_return __tgt_rtl_run_target_team_region 55.697775000 0.010225000
exit_omp-729-48-256 sgemm_nt_kern 55.708000000 0.112050000
data_in_copy_map-gemm-729-192-48sgemm_nt_kern sgemm_nt_kern 55.820050000 0.047936000
enter_omp-gemm-729-192-48 sgemm_nt_kern 55.867986000 0.014584000
offload_wait __tgt_rtl_run_target_team_region 55.882570000 0.031824000
offload_return __tgt_rtl_run_target_team_region 55.914394000 0.011277000
exit_omp-729-192-48 sgemm_nt_kern 55.925671000 0.444812000
data_in_copy_map-gemm-729-192-43sgemm_nt_kern sgemm_nt_kern 56.370483000 0.128486000
enter_omp-gemm-729-192-432 sgemm_nt_kern 56.498969000 0.014728000
offload_wait __tgt_rtl_run_target_team_region 56.513697000 0.184980000
offload_return __tgt_rtl_run_target_team_region 56.698677000 0.016028000
exit_omp-729-192-432 sgemm_nt_kern 56.714705000 0.389304000
data_in_copy_map-gemm-729-48-384sgemm_nt_kern sgemm_nt_kern 57.104009000 0.081642000
enter_omp-gemm-729-48-384 sgemm_nt_kern 57.185651000 0.012289000
offload_wait __tgt_rtl_run_target_team_region 57.197940000 0.043399000
offload_return __tgt_rtl_run_target_team_region 57.241339000 0.009831000
exit_omp-729-48-384 sgemm_nt_kern 57.251170000 0.125119000
data_in_copy_map-gemm-729-192-48sgemm_nt_kern sgemm_nt_kern 57.376289000 0.039413000
enter_omp-gemm-729-192-48 sgemm_nt_kern 57.415702000 0.015395000
offload_wait __tgt_rtl_run_target_team_region 57.431097000 0.032661000
offload_return __tgt_rtl_run_target_team_region 57.463758000 0.010993000
exit_omp-729-192-48 sgemm_nt_kern 57.474751000 0.442442000
data_in_copy_map-gemm-729-192-43sgemm_nt_kern sgemm_nt_kern 57.917193000 0.119766000
enter_omp-gemm-729-192-432 sgemm_nt_kern 58.036959000 0.014261000
offload_wait __tgt_rtl_run_target_team_region 58.051220000 0.187205000
offload_return __tgt_rtl_run_target_team_region 58.238425000 0.010198000
exit_omp-729-192-432 sgemm_nt_kern 58.248623000 0.410354000
data_in_copy_map-gemm-729-64-384sgemm_nt_kern sgemm_nt_kern 58.658977000 0.081034000
enter_omp-gemm-729-64-384 sgemm_nt_kern 58.740011000 0.012616000
offload_wait __tgt_rtl_run_target_team_region 58.752627000 0.066039000
offload_return __tgt_rtl_run_target_team_region 58.818666000 0.010302000
exit_omp-729-64-384 sgemm_nt_kern 58.828968000 0.158847000
data_in_copy_map-gemm-729-256-64sgemm_nt_kern sgemm_nt_kern 58.987815000 0.060157000
enter_omp-gemm-729-256-64 sgemm_nt_kern 59.047972000 0.012280000
offload_wait __tgt_rtl_run_target_team_region 59.060252000 0.047482000
offload_return __tgt_rtl_run_target_team_region 59.107734000 0.009761000
exit_omp-729-256-64 sgemm_nt_kern 59.117495000 0.611457000
data_in_copy_map-gemm-729-256-57sgemm_nt_kern sgemm_nt_kern 59.728952000 0.168376000
enter_omp-gemm-729-256-576 sgemm_nt_kern 59.897328000 0.012201000
offload_wait __tgt_rtl_run_target_team_region 59.909529000 0.334240000
offload_return __tgt_rtl_run_target_team_region 60.243769000 0.010178000
exit_omp-729-256-576 sgemm_nt_kern 60.253947000 1.202053000
data_in_copy_map-gemm-169-64-512sgemm_nt_kern sgemm_nt_kern 61.456000000 0.031093000
enter_omp-gemm-169-64-512 sgemm_nt_kern 61.487093000 0.012185000
offload_wait __tgt_rtl_run_target_team_region 61.499278000 0.022463000
offload_return __tgt_rtl_run_target_team_region 61.521741000 0.009823000
exit_omp-169-64-512 sgemm_nt_kern 61.531564000 0.038709000
data_in_copy_map-gemm-169-256-64sgemm_nt_kern sgemm_nt_kern 61.570273000 0.023133000
enter_omp-gemm-169-256-64 sgemm_nt_kern 61.593406000 0.016627000
offload_wait __tgt_rtl_run_target_team_region 61.610033000 0.016516000
offload_return __tgt_rtl_run_target_team_region 61.626549000 0.009805000
exit_omp-169-256-64 sgemm_nt_kern 61.636354000 0.146305000
data_in_copy_map-gemm-169-256-57sgemm_nt_kern sgemm_nt_kern 61.782659000 0.072496000
enter_omp-gemm-169-256-576 sgemm_nt_kern 61.855155000 0.012649000
offload_wait __tgt_rtl_run_target_team_region 61.867804000 0.084327000
offload_return __tgt_rtl_run_target_team_region 61.952131000 0.009793000
exit_omp-169-256-576 sgemm_nt_kern 61.961924000 0.218188000
