tot dma issue compute
13877767 1812183 699830 10515310
11014771 506548 167446 9776952
11005725 504673 167814 9768431
11015266 507846 165419 9776751
11011707 506156 167649 9773580
11019812 505242 166824 9784035
11006291 505408 166461 9764781
5204843 157616 50852 4779049
10208209 180064 52881 9557100
745676 136358 47345 522234
10210342 181059 51877 9554934
10209527 180377 52663 9554818
10213163 181745 51527 9564027
10213104 181268 52075 9554397
10213340 181751 51813 9560477
10205388 181469 51759 9546996
5250403 102226 21992 4887720
10427794 156295 20883 9803185
647758 51827 21533 539034
10441495 155531 21480 9808888
10439551 158210 21499 9811454
10429996 153857 21271 9809511
10426009 157011 21699 9786811
10452253 156317 20958 9836258
10431961 156781 21128 9798897
10452727 159013 21439 9823043
10422040 155168 21517 9803729
10450840 154488 20878 9830781
10436341 160658 21499 9806678
5709539 51061 9962 5428781
11425481 84469 9713 10903479
662057 20917 9914 600751
11425637 84514 9990 10899993
11416535 84482 9580 10892215
11404573 84637 10010 10874015
11436530 84558 9948 10908091
