info function time diff
data_in_copy-gemm-12544-64-147 sgemm_nt_kern 108.159230000 2.230467000
enter_omp-gemm-12544-64-147 sgemm_nt_kern 110.389697000 0.012513000
offload_wait __tgt_rtl_run_target_team_region 110.402210000 0.449834000
offload_return __tgt_rtl_run_target_team_region 110.852044000 0.009703000
data_out_copy-gemm-12544-64-147 sgemm_nt_kern 110.861747000 0.649258000
exit_omp-12544-64-147 sgemm_nt_kern 111.511005000 4.456716000
data_in_copy-gemm-3136-64-576 sgemm_nt_kern 115.967721000 1.677224000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 117.644945000 0.012203000
offload_wait __tgt_rtl_run_target_team_region 117.657148000 0.355586000
offload_return __tgt_rtl_run_target_team_region 118.012734000 0.009802000
data_out_copy-gemm-3136-64-576 sgemm_nt_kern 118.022536000 0.158054000
exit_omp-3136-64-576 sgemm_nt_kern 118.180590000 1.632717000
data_in_copy-gemm-3136-64-576 sgemm_nt_kern 119.813307000 1.721326000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 121.534633000 0.016919000
offload_wait __tgt_rtl_run_target_team_region 121.551552000 0.362801000
offload_return __tgt_rtl_run_target_team_region 121.914353000 0.010865000
data_out_copy-gemm-3136-64-576 sgemm_nt_kern 121.925218000 0.158131000
exit_omp-3136-64-576 sgemm_nt_kern 122.083349000 1.823640000
data_in_copy-gemm-3136-64-576 sgemm_nt_kern 123.906989000 1.684790000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 125.591779000 0.014487000
offload_wait __tgt_rtl_run_target_team_region 125.606266000 0.368919000
offload_return __tgt_rtl_run_target_team_region 125.975185000 0.013656000
data_out_copy-gemm-3136-64-576 sgemm_nt_kern 125.988841000 0.162991000
exit_omp-3136-64-576 sgemm_nt_kern 126.151832000 1.561272000
data_in_copy-gemm-3136-64-576 sgemm_nt_kern 127.713104000 1.705416000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 129.418520000 0.014743000
offload_wait __tgt_rtl_run_target_team_region 129.433263000 0.355986000
offload_return __tgt_rtl_run_target_team_region 129.789249000 0.010316000
data_out_copy-gemm-3136-64-576 sgemm_nt_kern 129.799565000 0.165963000
exit_omp-3136-64-576 sgemm_nt_kern 129.965528000 1.810559000
data_in_copy-gemm-3136-64-576 sgemm_nt_kern 131.776087000 1.747435000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 133.523522000 0.013793000
offload_wait __tgt_rtl_run_target_team_region 133.537315000 0.367930000
offload_return __tgt_rtl_run_target_team_region 133.905245000 0.009770000
data_out_copy-gemm-3136-64-576 sgemm_nt_kern 133.915015000 0.180363000
exit_omp-3136-64-576 sgemm_nt_kern 134.095378000 1.585583000
data_in_copy-gemm-3136-64-576 sgemm_nt_kern 135.680961000 1.697612000
enter_omp-gemm-3136-64-576 sgemm_nt_kern 137.378573000 0.016981000
offload_wait __tgt_rtl_run_target_team_region 137.395554000 0.364730000
offload_return __tgt_rtl_run_target_team_region 137.760284000 0.009790000
data_out_copy-gemm-3136-64-576 sgemm_nt_kern 137.770074000 0.173591000
exit_omp-3136-64-576 sgemm_nt_kern 137.943665000 1.059580000
data_in_copy-gemm-784-128-576 sgemm_nt_kern 139.003245000 0.494383000
enter_omp-gemm-784-128-576 sgemm_nt_kern 139.497628000 0.012167000
offload_wait __tgt_rtl_run_target_team_region 139.509795000 0.173087000
offload_return __tgt_rtl_run_target_team_region 139.682882000 0.009740000
data_out_copy-gemm-784-128-576 sgemm_nt_kern 139.692622000 0.101925000
exit_omp-784-128-576 sgemm_nt_kern 139.794547000 0.802654000
data_in_copy-gemm-784-128-1152 sgemm_nt_kern 140.597201000 0.954102000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 141.551303000 0.012170000
offload_wait __tgt_rtl_run_target_team_region 141.563473000 0.325454000
offload_return __tgt_rtl_run_target_team_region 141.888927000 0.009771000
data_out_copy-gemm-784-128-1152 sgemm_nt_kern 141.898698000 0.079246000
exit_omp-784-128-1152 sgemm_nt_kern 141.977944000 0.193757000
data_in_copy-gemm-784-128-64 sgemm_nt_kern 142.171701000 0.135246000
enter_omp-gemm-784-128-64 sgemm_nt_kern 142.306947000 0.012138000
offload_wait __tgt_rtl_run_target_team_region 142.319085000 0.026585000
offload_return __tgt_rtl_run_target_team_region 142.345670000 0.010951000
data_out_copy-gemm-784-128-64 sgemm_nt_kern 142.356621000 0.087186000
exit_omp-784-128-64 sgemm_nt_kern 142.443807000 0.915668000
data_in_copy-gemm-784-128-1152 sgemm_nt_kern 143.359475000 0.935358000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 144.294833000 0.014644000
offload_wait __tgt_rtl_run_target_team_region 144.309477000 0.329021000
offload_return __tgt_rtl_run_target_team_region 144.638498000 0.017510000
data_out_copy-gemm-784-128-1152 sgemm_nt_kern 144.656008000 0.080035000
exit_omp-784-128-1152 sgemm_nt_kern 144.736043000 0.771293000
data_in_copy-gemm-784-128-1152 sgemm_nt_kern 145.507336000 0.968650000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 146.475986000 0.012164000
offload_wait __tgt_rtl_run_target_team_region 146.488150000 0.336544000
offload_return __tgt_rtl_run_target_team_region 146.824694000 0.009565000
data_out_copy-gemm-784-128-1152 sgemm_nt_kern 146.834259000 0.079266000
exit_omp-784-128-1152 sgemm_nt_kern 146.913525000 0.937148000
data_in_copy-gemm-784-128-1152 sgemm_nt_kern 147.850673000 0.976947000
enter_omp-gemm-784-128-1152 sgemm_nt_kern 148.827620000 0.012462000
offload_wait __tgt_rtl_run_target_team_region 148.840082000 0.341759000
offload_return __tgt_rtl_run_target_team_region 149.181841000 0.009833000
data_out_copy-gemm-784-128-1152 sgemm_nt_kern 149.191674000 0.082532000
