[CONV_TIMER] ===== SUMMARY =====
[CONV_TIMER] Im2col: 1252992 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 5849127 us
[CONV_TIMER] Total_Conv: 7103066 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 470063 us
[CONV_TIMER] Total_Conv: 470704 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 791360 us
[CONV_TIMER] Total_Conv: 791987 us
[CONV_TIMER] Im2col: 280216 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1112900 us
[CONV_TIMER] Total_Conv: 1394052 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 501338 us
[CONV_TIMER] Total_Conv: 501974 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 733859 us
[CONV_TIMER] Total_Conv: 734496 us
[CONV_TIMER] Im2col: 282937 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1132158 us
[CONV_TIMER] Total_Conv: 1416031 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 713695 us
[CONV_TIMER] Total_Conv: 714339 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1486417 us
[CONV_TIMER] Total_Conv: 1489577 us
[CONV_TIMER] Im2col: 584969 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 2396642 us
[CONV_TIMER] Total_Conv: 2984508 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 272311 us
[CONV_TIMER] Total_Conv: 272945 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 417376 us
[CONV_TIMER] Total_Conv: 418014 us
[CONV_TIMER] Im2col: 139818 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 648834 us
[CONV_TIMER] Total_Conv: 789580 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 350489 us
[CONV_TIMER] Total_Conv: 353178 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 581816 us
[CONV_TIMER] Total_Conv: 582452 us
[CONV_TIMER] Im2col: 210231 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 996369 us
[CONV_TIMER] Total_Conv: 1207528 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 438012 us
[CONV_TIMER] Total_Conv: 438652 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 551095 us
[CONV_TIMER] Total_Conv: 551725 us
[CONV_TIMER] Im2col: 214563 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1024175 us
[CONV_TIMER] Total_Conv: 1239669 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 498747 us
[CONV_TIMER] Total_Conv: 499381 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 749749 us
[CONV_TIMER] Total_Conv: 750386 us
[CONV_TIMER] Im2col: 280614 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1509193 us
[CONV_TIMER] Total_Conv: 1790729 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 178295 us
[CONV_TIMER] Total_Conv: 178926 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 213500 us
[CONV_TIMER] Total_Conv: 214132 us
[CONV_TIMER] Im2col: 59323 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 448592 us
[CONV_TIMER] Total_Conv: 508835 us
[CONV_TIMER] cpu_backend_gemm::Gemm: 1351239 us
[CONV_TIMER] Total_Conv: 1351870 us
