tot dma issue compute
17910852 2028753 664900 14383172
818980 186308 133082 425566
888805 296274 139710 370949
3162049 426785 159780 2377210
924046 175684 133439 531888
888715 294078 143142 374746
3163633 428105 158892 2375093
1465318 257464 132724 992385
1790179 416806 170255 1081738
10162276 545360 185038 8957624
639755 65328 34459 504380
451016 102965 44244 272331
2553744 135121 47023 2253008
893518 86090 34299 738176
780509 137311 51641 550123
5429533 173228 53944 4989494
1277261 87568 35305 1107451
780748 137298 51910 550391
5423410 173051 54230 4985654
1767249 107578 40439 1523510
1295139 182183 65451 976588
9648834 228144 66403 8953571
560668 26205 11403 490245
313489 42289 18023 234279
2326686 55076 17768 2150731
7905355 149392 44851 7387282
