info function time diff
data_in_copy-gemm-11881-96-147 sgemm_nt_kern 49.559323000 2.341762000
enter_omp-gemm-11881-96-147 sgemm_nt_kern 51.901085000 0.014620000
offload_wait __tgt_rtl_run_target_team_region 51.915705000 0.585920000
offload_return __tgt_rtl_run_target_team_region 52.501625000 0.010196000
data_out_copy-gemm-11881-96-147 sgemm_nt_kern 52.511821000 0.878944000
exit_omp-11881-96-147 sgemm_nt_kern 53.390765000 3.425884000
data_in_copy-gemm-2916-16-96 sgemm_nt_kern 56.816649000 0.280946000
enter_omp-gemm-2916-16-96 sgemm_nt_kern 57.097595000 0.018196000
offload_wait __tgt_rtl_run_target_team_region 57.115791000 0.027033000
offload_return __tgt_rtl_run_target_team_region 57.142824000 0.009873000
data_out_copy-gemm-2916-16-96 sgemm_nt_kern 57.152697000 0.037943000
exit_omp-2916-16-96 sgemm_nt_kern 57.190640000 0.185321000
data_in_copy-gemm-2916-64-16 sgemm_nt_kern 57.375961000 0.190051000
enter_omp-gemm-2916-64-16 sgemm_nt_kern 57.566012000 0.012551000
offload_wait __tgt_rtl_run_target_team_region 57.578563000 0.031334000
offload_return __tgt_rtl_run_target_team_region 57.609897000 0.009864000
data_out_copy-gemm-2916-64-16 sgemm_nt_kern 57.619761000 0.162433000
exit_omp-2916-64-16 sgemm_nt_kern 57.782194000 0.601086000
data_in_copy-gemm-2916-64-144 sgemm_nt_kern 58.383280000 0.481158000
enter_omp-gemm-2916-64-144 sgemm_nt_kern 58.864438000 0.014104000
offload_wait __tgt_rtl_run_target_team_region 58.878542000 0.106157000
offload_return __tgt_rtl_run_target_team_region 58.984699000 0.010266000
data_out_copy-gemm-2916-64-144 sgemm_nt_kern 58.994965000 0.151498000
exit_omp-2916-64-144 sgemm_nt_kern 59.146463000 0.544580000
data_in_copy-gemm-2916-16-128 sgemm_nt_kern 59.691043000 0.334475000
enter_omp-gemm-2916-16-128 sgemm_nt_kern 60.025518000 0.012244000
offload_wait __tgt_rtl_run_target_team_region 60.037762000 0.033704000
offload_return __tgt_rtl_run_target_team_region 60.071466000 0.008097000
data_out_copy-gemm-2916-16-128 sgemm_nt_kern 60.079563000 0.037398000
exit_omp-2916-16-128 sgemm_nt_kern 60.116961000 0.175706000
data_in_copy-gemm-2916-64-16 sgemm_nt_kern 60.292667000 0.192052000
enter_omp-gemm-2916-64-16 sgemm_nt_kern 60.484719000 0.012218000
offload_wait __tgt_rtl_run_target_team_region 60.496937000 0.030952000
offload_return __tgt_rtl_run_target_team_region 60.527889000 0.009832000
data_out_copy-gemm-2916-64-16 sgemm_nt_kern 60.537721000 0.142111000
exit_omp-2916-64-16 sgemm_nt_kern 60.679832000 0.598516000
data_in_copy-gemm-2916-64-144 sgemm_nt_kern 61.278348000 0.506015000
enter_omp-gemm-2916-64-144 sgemm_nt_kern 61.784363000 0.012628000
offload_wait __tgt_rtl_run_target_team_region 61.796991000 0.106783000
offload_return __tgt_rtl_run_target_team_region 61.903774000 0.009869000
data_out_copy-gemm-2916-64-144 sgemm_nt_kern 61.913643000 0.142099000
exit_omp-2916-64-144 sgemm_nt_kern 62.055742000 0.560391000
data_in_copy-gemm-2916-32-128 sgemm_nt_kern 62.616133000 0.388322000
enter_omp-gemm-2916-32-128 sgemm_nt_kern 63.004455000 0.012164000
offload_wait __tgt_rtl_run_target_team_region 63.016619000 0.046831000
offload_return __tgt_rtl_run_target_team_region 63.063450000 0.010334000
data_out_copy-gemm-2916-32-128 sgemm_nt_kern 63.073784000 0.081205000
exit_omp-2916-32-128 sgemm_nt_kern 63.154989000 0.333174000
data_in_copy-gemm-2916-128-32 sgemm_nt_kern 63.488163000 0.407560000
enter_omp-gemm-2916-128-32 sgemm_nt_kern 63.895723000 0.012217000
offload_wait __tgt_rtl_run_target_team_region 63.907940000 0.062916000
offload_return __tgt_rtl_run_target_team_region 63.970856000 0.009255000
data_out_copy-gemm-2916-128-32 sgemm_nt_kern 63.980111000 0.316175000
exit_omp-2916-128-32 sgemm_nt_kern 64.296286000 1.195693000
data_in_copy-gemm-2916-128-288 sgemm_nt_kern 65.491979000 1.037162000
enter_omp-gemm-2916-128-288 sgemm_nt_kern 66.529141000 0.014280000
offload_wait __tgt_rtl_run_target_team_region 66.543421000 0.334277000
offload_return __tgt_rtl_run_target_team_region 66.877698000 0.011788000
data_out_copy-gemm-2916-128-288 sgemm_nt_kern 66.889486000 0.308535000
exit_omp-2916-128-288 sgemm_nt_kern 67.198021000 2.477075000
data_in_copy-gemm-729-32-256 sgemm_nt_kern 69.675096000 0.169659000
enter_omp-gemm-729-32-256 sgemm_nt_kern 69.844755000 0.012196000
offload_wait __tgt_rtl_run_target_team_region 69.856951000 0.024825000
offload_return __tgt_rtl_run_target_team_region 69.881776000 0.010254000
data_out_copy-gemm-729-32-256 sgemm_nt_kern 69.892030000 0.019117000
exit_omp-729-32-256 sgemm_nt_kern 69.911147000 0.094344000
data_in_copy-gemm-729-128-32 sgemm_nt_kern 70.005491000 0.099854000
enter_omp-gemm-729-128-32 sgemm_nt_kern 70.105345000 0.023759000
offload_wait __tgt_rtl_run_target_team_region 70.129104000 0.016354000
offload_return __tgt_rtl_run_target_team_region 70.145458000 0.009895000
data_out_copy-gemm-729-128-32 sgemm_nt_kern 70.155353000 0.072392000
exit_omp-729-128-32 sgemm_nt_kern 70.227745000 0.298201000
data_in_copy-gemm-729-128-288 sgemm_nt_kern 70.525946000 0.278232000
enter_omp-gemm-729-128-288 sgemm_nt_kern 70.804178000 0.014648000
offload_wait __tgt_rtl_run_target_team_region 70.818826000 0.084698000
offload_return __tgt_rtl_run_target_team_region 70.903524000 0.016186000
data_out_copy-gemm-729-128-288 sgemm_nt_kern 70.919710000 0.079763000
exit_omp-729-128-288 sgemm_nt_kern 70.999473000 0.267518000
data_in_copy-gemm-729-48-256 sgemm_nt_kern 71.266991000 0.204408000
enter_omp-gemm-729-48-256 sgemm_nt_kern 71.471399000 0.012544000
offload_wait __tgt_rtl_run_target_team_region 71.483943000 0.029474000
offload_return __tgt_rtl_run_target_team_region 71.513417000 0.010728000
data_out_copy-gemm-729-48-256 sgemm_nt_kern 71.524145000 0.028446000
exit_omp-729-48-256 sgemm_nt_kern 71.552591000 0.119751000
data_in_copy-gemm-729-192-48 sgemm_nt_kern 71.672342000 0.153392000
enter_omp-gemm-729-192-48 sgemm_nt_kern 71.825734000 0.017960000
offload_wait __tgt_rtl_run_target_team_region 71.843694000 0.025736000
offload_return __tgt_rtl_run_target_team_region 71.869430000 0.009871000
data_out_copy-gemm-729-192-48 sgemm_nt_kern 71.879301000 0.117975000
