m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
8,8,8,False,False,0.057758999999350635,0.0158449999998993,7467,104,4192,1028
8,8,8,False,True,0.03377399999953923,0.006261999998969259,5976,80,2967,869
8,8,8,True,False,0.034774000001561944,0.006030000000464497,5818,107,2816,933
8,8,8,True,True,0.03561400000035064,0.003923999998733052,5540,158,2543,815
16,16,16,False,False,0.038402999998652376,0.004807999999684398,5983,378,2440,1194
16,16,16,False,True,0.05028599999968719,0.008211000000301283,6417,329,2753,1289
16,16,16,True,False,0.04014199999983248,0.007462999998097075,6138,374,2617,1240
16,16,16,True,True,0.03731999999945401,0.007572000000436674,6085,394,2337,1289
32,32,32,False,False,0.06412699999964389,0.017638999999689986,12741,1839,3068,5664
32,32,32,False,True,0.04099300000052608,0.014565999999831547,12675,1832,3054,5533
32,32,32,True,False,0.04105600000002596,0.013707000000067637,11871,1968,2856,5157
32,32,32,True,True,0.044088999999075895,0.020806000000447966,12313,1831,2791,5490
32,48,64,False,False,0.06767599999875529,0.07068699999945238,24396,5200,3514,13669
32,48,64,False,True,0.04639099999985774,0.028998000001593027,24828,4883,3727,13662
32,48,64,True,False,0.04902099999890197,0.02935099999922386,23898,5817,2686,13455
32,48,64,True,True,0.04863600000135193,0.02998499999921478,24550,5664,2847,13900
64,64,64,False,False,0.09864899999956833,0.10401599999931932,58375,12734,5707,36498
64,64,64,False,True,0.06420799999978044,0.08831600000121398,60669,12831,6001,38112
64,64,64,True,False,0.07847799999944982,0.09832900000037625,57709,13852,4307,36241
64,64,64,True,True,0.0658690000000206,0.08747299999959068,59683,14105,4458,37522
128,128,128,False,False,0.2945319999998901,0.9287760000006529,349864,37997,8272,293606
128,128,128,False,True,0.17022700000052282,0.8487280000008468,356657,38947,9632,297476
128,128,128,True,False,0.1562919999996666,0.8220570000012231,344746,38329,7960,288916
128,128,128,True,True,0.15543299999990268,0.8212379999986297,352085,39178,8470,294304
256,256,256,False,False,1.063081999998758,6.851156999999148,2496460,118056,20071,2300991
256,256,256,False,True,0.7586050000008981,6.687738000000536,2612169,115980,25434,2408918
256,256,256,True,False,0.5707670000010694,6.443564000001061,2495830,119654,21103,2297496
256,256,256,True,True,0.8537259999993694,6.5694299999995565,2551406,118349,22436,2352467
512,512,512,False,False,4.338289999999688,51.892588000000615,19348000,419875,62332,18487907
512,512,512,False,True,3.68110500000148,51.60866700000042,20238803,413706,74703,19360627
512,512,512,True,False,3.6103709999988496,51.48323300000084,19267785,423633,62925,18399044
512,512,512,True,True,2.389666999999463,50.93062800000189,19624295,423389,66128,18760382
