info function time diff
device_init init_hero_device 23.796139000 1.123823000
offload_wait __tgt_rtl_run_target_team_region 24.919962000 0.002489000
offload_return __tgt_rtl_run_target_team_region 24.922451000 70.249235000
data_in_copy-gemm-32-32-32 dgemm_nn_kern 95.171686000 0.012170000
enter_omp-gemm-32-32-32 dgemm_nn_kern 95.183856000 0.016611000
offload_wait __tgt_rtl_run_target_team_region 95.200467000 0.001793000
offload_return __tgt_rtl_run_target_team_region 95.202260000 0.010017000
data_out_copy-gemm-32-32-32 dgemm_nn_kern 95.212277000 0.002515000
exit_omp-32-32-32 dgemm_nn_kern 95.214792000 0.196162000
data_in_copy-gemm-32-32-32 dgemm_nt_kern 95.410954000 0.006842000
enter_omp-gemm-32-32-32 dgemm_nt_kern 95.417796000 0.013309000
offload_wait __tgt_rtl_run_target_team_region 95.431105000 0.003335000
offload_return __tgt_rtl_run_target_team_region 95.434440000 0.009952000
data_out_copy-gemm-32-32-32 dgemm_nt_kern 95.444392000 0.002578000
exit_omp-32-32-32 dgemm_nt_kern 95.446970000 0.187325000
data_in_copy-gemm-32-32-32 dgemm_tn_kern 95.634295000 0.004680000
enter_omp-gemm-32-32-32 dgemm_tn_kern 95.638975000 0.015016000
offload_wait __tgt_rtl_run_target_team_region 95.653991000 0.001717000
offload_return __tgt_rtl_run_target_team_region 95.655708000 0.016398000
data_out_copy-gemm-32-32-32 dgemm_tn_kern 95.672106000 0.002145000
exit_omp-32-32-32 dgemm_tn_kern 95.674251000 0.179131000
data_in_copy-gemm-32-32-32 dgemm_tt_kern 95.853382000 0.006823000
enter_omp-gemm-32-32-32 dgemm_tt_kern 95.860205000 0.012760000
offload_wait __tgt_rtl_run_target_team_region 95.872965000 0.001731000
offload_return __tgt_rtl_run_target_team_region 95.874696000 0.010068000
data_out_copy-gemm-32-32-32 dgemm_tt_kern 95.884764000 0.004670000
exit_omp-32-32-32 dgemm_tt_kern 95.889434000 0.194563000
data_in_copy-gemm-32-64-64 dgemm_nn_kern 96.083997000 0.023669000
enter_omp-gemm-32-64-64 dgemm_nn_kern 96.107666000 0.012813000
offload_wait __tgt_rtl_run_target_team_region 96.120479000 0.002316000
