m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
32,48,64,False,False,0.08466699999917182,0.04709100000036415,26209,4701,5367,13902
32,48,64,False,True,0.06884299999910581,0.035115000000587315,24852,4680,4151,13713
32,48,64,True,False,0.053152000000409316,0.029068000001643668,24433,5392,3478,13435
32,48,64,True,True,0.048800000000483124,0.029319999999643187,24629,5651,2854,13980
32,48,128,False,False,0.07422500000029686,0.04859600000054343,38362,5656,3415,27139
32,48,128,False,True,0.06614000000081433,0.05006599999978789,38937,5422,3298,27842
32,48,128,True,False,0.05975699999908102,0.052510999999867636,38308,5848,2893,27351
32,48,128,True,True,0.07891300000119372,0.04977599999983795,38573,6428,2260,27620
32,48,256,False,False,0.0919979999998759,0.1417890000011539,65392,5363,3135,53997
32,48,256,False,True,0.07476700000006531,0.13279200000033597,68133,4885,3499,56788
32,48,256,True,False,0.07232499999918218,0.1296170000005077,65476,5931,2755,54173
32,48,256,True,True,0.09342600000127277,0.12430099999983213,66448,5748,2738,55119
32,48,512,False,False,0.14379299999927753,0.3137409999999363,120508,5598,2976,108123
32,48,512,False,True,0.103398000001107,0.2803829999993468,127599,5111,3246,115224
32,48,512,True,False,0.11470799999915471,0.3059400000001915,120486,5757,3147,107906
32,48,512,True,True,0.10766500000136148,0.31192599999849335,122689,6111,2519,110244
