m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
8,8,8,False,True,0.03763199999957578,0.027568000001338078,8708,132,5411,1087
8,8,8,False,True,0.032649999999193824,0.0037999999985913746,6175,145,3490,852
8,8,8,False,True,0.03215199999976903,0.006095999999160995,5204,174,2713,572
8,8,8,False,True,0.0331209999985731,0.005952000001343549,4919,158,2548,487
8,8,8,False,True,0.03270599999996193,0.0036289999989094213,4994,173,2520,649
8,8,8,False,True,0.033975999998801854,0.005890999998882762,5233,172,2693,614
8,8,8,False,True,0.046557000001484994,0.0059779999992315425,5138,183,2498,689
8,8,8,False,True,0.03262100000029022,0.005880000000615837,5116,173,2583,625
8,8,8,False,True,0.035298999999213265,0.003601999998863903,4697,158,2371,555
8,8,8,False,True,0.0325860000011744,0.00583100000039849,5186,162,2705,718
16,16,16,False,True,0.03773199999886856,0.008241999999881955,5810,460,2389,1203
16,16,16,False,True,0.034047999999529566,0.007129999999961001,5725,470,2467,1120
16,16,16,False,True,0.038521999998920364,0.006773000000976026,5885,537,2575,1169
16,16,16,False,True,0.03674300000056974,0.006786000001739012,5817,567,2638,950
16,16,16,False,True,0.03456499999992957,0.004461999998966348,5804,574,2458,1089
16,16,16,False,True,0.05824399999983143,0.004516999999395921,5840,403,2491,1077
16,16,16,False,True,0.03520899999966787,0.004490999999688938,5813,518,2600,1089
16,16,16,False,True,0.03517500000089058,0.004478000000744942,5588,584,2367,1075
16,16,16,False,True,0.041159000000334345,0.009819999999308493,6007,470,2614,1110
16,16,16,False,True,0.03839900000093621,0.006723000000420143,5873,552,2451,1110
32,32,32,False,True,0.05039699999906588,0.027175000001079752,12350,2271,2913,5276
32,32,32,False,True,0.0407470000009198,0.013453999999910593,12136,2378,2708,5302
32,32,32,False,True,0.04099400000086462,0.010881999998673564,12188,2178,3085,5288
32,32,32,False,True,0.040726000001086504,0.012306000000535278,12434,2334,2895,5418
32,32,32,False,True,0.05254400000012538,0.011510000000271248,12200,2303,2729,5186
32,32,32,False,True,0.06037000000105763,0.012086000000635977,12529,1951,3102,5448
32,32,32,False,True,0.05580000000009022,0.011679999999614665,12244,2082,3032,5308
32,32,32,False,True,0.04105699999854551,0.011141000000861823,12460,2325,2969,5417
32,32,32,False,True,0.04097600000022794,0.012377999999444,12352,2283,2764,5509
32,32,32,False,True,0.0527380000003177,0.010749000000942033,12335,2288,2723,5449
64,64,64,False,True,0.1151769999996759,0.10233700000026147,62561,13279,7097,38220
64,64,64,False,True,0.06355900000016845,0.07747399999971094,61496,13688,6734,37584
64,64,64,False,True,0.0629640000006475,0.07384899999851768,60812,13295,6711,37237
64,64,64,False,True,0.0711650000012014,0.07796700000108103,61200,13550,6627,37418
64,64,64,False,True,0.062138000001141336,0.07430500000009488,61538,13596,6100,37788
64,64,64,False,True,0.07197699999960605,0.09116999999969266,62135,13857,6583,37809
64,64,64,False,True,0.07495200000084878,0.09054199999991397,61618,13336,7055,37288
64,64,64,False,True,0.06190999999853375,0.07467999999971653,61757,13452,6439,37638
64,64,64,False,True,0.06375200000002224,0.10358600000108709,62456,13415,6546,38387
64,64,64,False,True,0.06130299999858835,0.07728300000053423,60556,13273,6554,36497
128,128,128,False,True,0.26025900000058755,0.9059570000008534,362249,38007,13537,297162
128,128,128,False,True,0.1481050000002142,0.820239999999103,368699,38019,13586,303480
128,128,128,False,True,0.1786179999999149,0.8140340000009019,366587,37831,14028,299628
128,128,128,False,True,0.14709799999945972,0.8491489999996702,364949,37863,13862,299645
128,128,128,False,True,0.15908500000114145,0.8357999999989261,365693,38430,14212,299609
128,128,128,False,True,0.15498499999921478,0.8421539999999368,368378,38011,14083,303373
128,128,128,False,True,0.14426800000001094,0.8201630000003206,365483,37823,14188,300724
128,128,128,False,True,0.15752599999905215,0.8388759999998001,367793,38207,14076,302331
128,128,128,False,True,0.1547420000006241,0.859426999999414,365672,37805,13928,300265
128,128,128,False,True,0.16671899999892048,0.7817109999996319,361406,37820,13961,296329
256,256,256,False,True,1.0119549999999435,6.802345999998579,2667242,114617,39099,2435589
256,256,256,False,True,0.8630119999997987,6.589347000000998,2671085,114061,40157,2441569
256,256,256,False,True,0.5542730000015581,6.440612999998848,2665390,114863,39423,2434437
256,256,256,False,True,0.8581020000001445,6.631549000001542,2663323,114711,39421,2433942
256,256,256,False,True,0.5448940000005678,6.3227179999994405,2670728,114455,39350,2439776
256,256,256,False,True,0.8572459999995772,6.528537000000142,2670037,114383,39197,2438920
256,256,256,False,True,0.5576609999989159,6.39255299999968,2667251,114416,39157,2436885
256,256,256,False,True,0.8585309999998572,6.540644000000611,2663909,114730,39476,2433485
256,256,256,False,True,0.555449999999837,6.4644289999996545,2663561,114081,39130,2432341
256,256,256,False,True,0.8823710000015126,6.576027999999496,2672132,115056,38676,2443302
512,512,512,False,True,4.387548000000606,51.58901499999956,20548385,412936,121850,19568304
512,512,512,False,True,3.693451000001005,51.388402999999016,20544239,411960,123447,19566302
512,512,512,False,True,3.6370960000003834,51.54130199999963,20542891,412590,119831,19565743
512,512,512,False,True,2.4919489999992948,51.06147800000144,20537048,413411,120987,19560087
512,512,512,False,True,3.6491839999998774,51.2021850000001,20540729,412867,121568,19559571
512,512,512,False,True,2.388261000000057,50.49648900000102,20514134,413086,121551,19532120
