info function time diff
device_init init_hero_device 23.662226000 1.137204000
offload_wait __tgt_rtl_run_target_team_region 24.799430000 0.002520000
offload_return __tgt_rtl_run_target_team_region 24.801950000 69.592069000
data_in_copy-gemm-8-8-8 dgemm_nt_kern 94.394019000 0.001203000
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.395222000 0.014495000
offload_wait __tgt_rtl_run_target_team_region 94.409717000 0.002565000
offload_return __tgt_rtl_run_target_team_region 94.412282000 0.010266000
data_out_copy-gemm-8-8-8 dgemm_nt_kern 94.422548000 0.000988000
exit_omp-8-8-8 dgemm_nt_kern 94.423536000 0.164900000
data_in_copy-gemm-8-8-8 dgemm_nt_kern 94.588436000 0.001218000
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.589654000 0.014039000
offload_wait __tgt_rtl_run_target_team_region 94.603693000 0.001950000
offload_return __tgt_rtl_run_target_team_region 94.605643000 0.009923000
data_out_copy-gemm-8-8-8 dgemm_nt_kern 94.615566000 0.000971000
exit_omp-8-8-8 dgemm_nt_kern 94.616537000 0.147236000
data_in_copy-gemm-8-8-8 dgemm_nt_kern 94.763773000 0.001651000
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.765424000 0.012226000
offload_wait __tgt_rtl_run_target_team_region 94.777650000 0.001494000
offload_return __tgt_rtl_run_target_team_region 94.779144000 0.009897000
data_out_copy-gemm-8-8-8 dgemm_nt_kern 94.789041000 0.000974000
exit_omp-8-8-8 dgemm_nt_kern 94.790015000 0.147259000
data_in_copy-gemm-8-8-8 dgemm_nt_kern 94.937274000 0.001224000
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.938498000 0.014864000
offload_wait __tgt_rtl_run_target_team_region 94.953362000 0.001852000
offload_return __tgt_rtl_run_target_team_region 94.955214000 0.009936000
data_out_copy-gemm-8-8-8 dgemm_nt_kern 94.965150000 0.000968000
exit_omp-8-8-8 dgemm_nt_kern 94.966118000 0.151435000
data_in_copy-gemm-8-8-8 dgemm_nt_kern 95.117553000 0.001609000
enter_omp-gemm-8-8-8 dgemm_nt_kern 95.119162000 0.014325000
offload_wait __tgt_rtl_run_target_team_region 95.133487000 0.001484000
offload_return __tgt_rtl_run_target_team_region 95.134971000 0.009994000
data_out_copy-gemm-8-8-8 dgemm_nt_kern 95.144965000 0.000979000
exit_omp-8-8-8 dgemm_nt_kern 95.145944000 0.155353000
data_in_copy-gemm-8-8-8 dgemm_nt_kern 95.301297000 0.002864000
enter_omp-gemm-8-8-8 dgemm_nt_kern 95.304161000 0.012673000
offload_wait __tgt_rtl_run_target_team_region 95.316834000 0.002735000
offload_return __tgt_rtl_run_target_team_region 95.319569000 0.009922000
data_out_copy-gemm-8-8-8 dgemm_nt_kern 95.329491000 0.001381000
exit_omp-8-8-8 dgemm_nt_kern 95.330872000 0.141841000
