m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
8,8,8,False,True,0.03929400001652539,0.03303199994843453,8907,150,5574,1119
8,8,8,False,True,0.034632000024430454,0.003794000018388033,5798,158,3062,680
8,8,8,False,True,0.033485000021755695,0.0036959999706596136,5775,178,3018,674
8,8,8,False,True,0.033593000029213727,0.005822999984957278,5195,198,2417,714
8,8,8,False,True,0.036044999957084656,0.0036120000295341015,5302,178,2913,541
8,8,8,False,True,0.035819999990053475,0.003589999978430569,5252,198,2909,524
8,8,8,False,True,0.03731299994979054,0.0062469999538734555,5311,217,2688,683
8,8,8,False,True,0.033810999942943454,0.0035960000241175294,4907,158,2459,611
8,8,8,False,True,0.04548099997919053,0.00362700002733618,5326,178,2703,683
8,8,8,False,True,0.03302600001916289,0.003588999970816076,5089,157,2813,451
16,16,16,False,True,0.03463600005488843,0.004483000026084483,6020,385,2577,1149
16,16,16,False,True,0.036856999970041215,0.006775000016205013,6259,488,2677,1201
16,16,16,False,True,0.034214000101201236,0.004472999949939549,6307,640,2964,1054
16,16,16,False,True,0.03744699992239475,0.004562999936752021,6011,501,2649,1099
16,16,16,False,True,0.03874499991070479,0.004458000068552792,5936,681,2641,1089
16,16,16,False,True,0.0346010000212118,0.004455000045709312,6132,571,2802,1002
16,16,16,False,True,0.037140000029467046,0.004462999990209937,6100,547,2580,1174
16,16,16,False,True,0.03629499999806285,0.007222999935038388,6191,384,2772,1149
16,16,16,False,True,0.037650999962352216,0.004478999995626509,5980,593,2741,1059
16,16,16,False,True,0.035222999984398484,0.0066980000119656324,6290,476,2792,1141
32,32,32,False,True,0.041616000002250075,0.018408000003546476,12490,2681,2789,5259
32,32,32,False,True,0.0359790000366047,0.011369000072591007,12619,2258,2980,5273
32,32,32,False,True,0.03806399996392429,0.01134899992030114,12988,2276,3415,5343
32,32,32,False,True,0.03995800006669015,0.011404999997466803,12857,2390,3125,5534
32,32,32,False,True,0.035924999974668026,0.01067500002682209,12838,2729,2952,5296
32,32,32,False,True,0.038723999983631074,0.010693000047467649,12658,2541,2911,5390
32,32,32,False,True,0.03814499999862164,0.01081399992108345,12755,2648,2691,5281
32,32,32,False,True,0.03552599996328354,0.011232999968342483,12804,2443,2898,5416
32,32,32,False,True,0.03838099993299693,0.010692000039853156,12694,2535,2896,5228
32,32,32,False,True,0.03993100009392947,0.021930000046268106,12828,2411,3283,5290
64,64,64,False,True,0.057247000047937036,0.09778900002129376,63107,15597,6673,36584
64,64,64,False,True,0.04278999997768551,0.07668800000101328,64171,14696,7253,37323
64,64,64,False,True,0.04868100001476705,0.08890800003428012,64388,15606,6845,37919
64,64,64,False,True,0.05302799993660301,0.09028500004205853,65204,14862,7375,38509
64,64,64,False,True,0.04901299998164177,0.08454900002107024,63476,14708,7250,37445
64,64,64,False,True,0.044713999959640205,0.07405499997548759,65602,15158,7004,38868
64,64,64,False,True,0.04597300000023097,0.08229900000151247,64054,14740,7014,37549
64,64,64,False,True,0.04911799996625632,0.07734200009144843,64888,14796,7142,38936
64,64,64,False,True,0.054930999875068665,0.07550400006584823,64374,14902,7021,37437
64,64,64,False,True,0.04923100001178682,0.08160899998620152,63222,15961,6521,37011
128,128,128,False,True,0.12328499997965991,0.888420999981463,379096,46600,15946,300739
128,128,128,False,True,0.12525099993217736,0.8436770000262186,379888,49001,15365,300257
128,128,128,False,True,0.07980599999427795,0.8517859999556094,377916,46953,14827,300115
128,128,128,False,True,0.08533599996007979,0.8072519999695942,377831,46014,15056,300619
128,128,128,False,True,0.07316599995829165,0.8774359999224544,379711,45328,15713,303120
128,128,128,False,True,0.08040400000754744,0.8108309999806806,380155,45470,15297,303216
128,128,128,False,True,0.07955899997614324,0.8167939999839291,378313,46881,14622,301430
128,128,128,False,True,0.0734960000263527,0.8451340000610799,380900,46892,15372,303318
128,128,128,False,True,0.0723800000268966,0.8001730000833049,377492,46200,15136,300441
128,128,128,False,True,0.07948299997951835,0.8104680000105873,375199,46328,15227,298990
256,256,256,False,True,0.41072199994232506,6.700340999988839,2759849,172997,46176,2442448
256,256,256,False,True,0.3639529999345541,6.356498999986798,2763939,166766,47108,2451560
256,256,256,False,True,0.23157800000626594,6.463636999949813,2758529,169913,47008,2444136
256,256,256,False,True,0.4160509998910129,6.602029999950901,2758812,172109,45883,2443271
256,256,256,False,True,0.23997899994719774,6.418667000019923,2760663,171021,46298,2444892
256,256,256,False,True,0.4227449999889359,6.564202999928966,2763757,174170,46023,2447383
256,256,256,False,True,0.2202129999641329,6.408081000088714,2763248,169390,47101,2446853
256,256,256,False,True,0.42511800001375377,6.700104000046849,2754978,171644,46893,2439610
256,256,256,False,True,0.24538000009488314,7.314222999964841,2764506,170942,47273,2449681
256,256,256,False,True,0.3948850000742823,7.138137000030838,2762434,171342,47926,2444989
512,512,512,False,True,1.873535000020638,51.78359000000637,20984770,656878,145698,19615366
512,512,512,False,True,1.8579389998922125,51.51377399999183,20983189,655022,143855,19623676
512,512,512,False,True,1.8557090000249445,51.81037700001616,20997855,654612,142225,19637615
512,512,512,False,True,1.0907390000065789,50.679559000069275,20980845,650059,144839,19619204
512,512,512,False,True,1.814987999969162,51.46239100000821,20992440,655132,143597,19636070
512,512,512,False,True,1.0949620000319555,50.743299999972805,20984549,648206,145980,19626235
512,512,512,False,True,1.827657000045292,51.28515999997035,20975677,651951,146274,19615685
512,512,512,False,True,1.0908649999182671,50.83613900002092,20985094,651734,145545,19627751
512,512,512,False,True,1.8671760000288486,51.820876999991015,20994991,658181,141991,19631495
512,512,512,False,True,1.0893919999944046,50.950151000055484,20996650,652519,144019,19637678
1024,1024,1024,False,True,10.085285000000113,405.6807520000002,168082389,5491816,491695,157220798
