info function time diff                                                                             
device_init init_hero_device 23.890936000 1.141139000                                                                                             
offload_wait __tgt_rtl_run_target_team_region 25.032075000 0.002517000                                                                            
offload_return __tgt_rtl_run_target_team_region 25.034592000 69.441745000                                                                         
data_in_copy_map-gemm-8-8-8 dgemm_nt_kern 94.476337000 0.006038000                                                                                
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.482375000 0.013324000                                                                                       
offload_wait __tgt_rtl_run_target_team_region 94.495699000 0.001613000                                                                            
offload_return __tgt_rtl_run_target_team_region 94.497312000 0.009820000                                                                          
exit_omp-8-8-8 dgemm_nt_kern 94.507132000 0.099777000                                                                                             
data_in_copy_map-gemm-8-8-8 dgemm_nt_kern 94.606909000 0.005415000                                                                                
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.612324000 0.012843000                                                                                       
offload_wait __tgt_rtl_run_target_team_region 94.625167000 0.001494000                                                                            
offload_return __tgt_rtl_run_target_team_region 94.626661000 0.009944000                                                                          
exit_omp-8-8-8 dgemm_nt_kern 94.636605000 0.090711000                                                                                             
data_in_copy_map-gemm-8-8-8 dgemm_nt_kern 94.727316000 0.002960000                                                                                
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.730276000 0.014425000                                                                                       
offload_wait __tgt_rtl_run_target_team_region 94.744701000 0.001896000                                                                            
offload_return __tgt_rtl_run_target_team_region 94.746597000 0.009884000                                                                          
exit_omp-8-8-8 dgemm_nt_kern 94.756481000 0.083023000                                                                                             
data_in_copy_map-gemm-8-8-8 dgemm_nt_kern 94.839504000 0.005190000                                                                                
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.844694000 0.012317000                                                                                       
offload_wait __tgt_rtl_run_target_team_region 94.857011000 0.001899000                                                                            
offload_return __tgt_rtl_run_target_team_region 94.858910000 0.009889000                                                                          
exit_omp-8-8-8 dgemm_nt_kern 94.868799000 0.086124000                                                                                             
data_in_copy_map-gemm-8-8-8 dgemm_nt_kern 94.954923000 0.003093000                                                                                
enter_omp-gemm-8-8-8 dgemm_nt_kern 94.958016000 0.014339000                                                                                       
offload_wait __tgt_rtl_run_target_team_region 94.972355000 0.001929000                                                                            
offload_return __tgt_rtl_run_target_team_region 94.974284000 0.009975000                                                                          
exit_omp-8-8-8 dgemm_nt_kern 94.984259000 0.096694000                                                                                             
data_in_copy_map-gemm-8-8-8 dgemm_nt_kern 95.080953000 0.002918000                                                                                
enter_omp-gemm-8-8-8 dgemm_nt_kern 95.083871000 0.014392000                                                                                       
offload_wait __tgt_rtl_run_target_team_region 95.098263000 0.001497000                                                                            
offload_return __tgt_rtl_run_target_team_region 95.099760000 0.009890000                                                                          
exit_omp-8-8-8 dgemm_nt_kern 95.109650000 0.084370000                                                                                             
data_in_copy_map-gemm-8-8-8 dgemm_nt_kern 95.194020000 0.005367000                                                                                
enter_omp-gemm-8-8-8 dgemm_nt_kern 95.199387000 0.012343000                                                                                       
offload_wait __tgt_rtl_run_target_team_region 95.211730000 0.002734000                                                                            
offload_return __tgt_rtl_run_target_team_region 95.214464000 0.009869000                                                                          
