m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
128,128,128,False,True,0.3085170000013022,0.9297970000006899,374657,36810,17389,305778
128,128,128,False,True,0.2706319999997504,0.8238729999975476,364151,38172,14108,298560
128,128,128,False,True,0.1893210000016552,0.8531569999977364,367229,37950,14050,301920
128,128,128,False,True,0.19073999999818625,0.8197699999982433,365711,37812,14319,300535
128,128,128,False,True,0.18343800000002375,0.8324560000000929,366992,38150,13858,301554
128,128,128,False,True,0.20991000000140048,0.8663209999976971,364340,37964,14020,298950
128,128,128,False,True,0.20030100000076345,0.8741169999993872,364754,38216,13527,299897
128,128,128,False,True,0.211221999998088,0.8290740000011283,363488,37404,14218,298429
128,128,128,False,True,0.1922740000009071,0.8437059999996563,364868,38215,13998,299813
128,128,128,False,True,0.20427199999903678,0.8207979999970121,364748,38028,14095,299524
128,128,128,False,True,0.18028899999990244,0.834340000001248,366569,38149,13547,301440
128,128,128,False,True,0.1888890000009269,0.8253870000007737,367532,38286,13994,301858
128,128,128,False,True,0.18581599999743048,0.8326149999993504,367370,38134,13784,302062
128,128,128,False,True,0.18357800000012503,0.8536089999979595,364319,38056,13818,298829
128,128,128,False,True,0.1909799999993993,0.864687999997841,367220,37945,13904,302357
128,128,128,False,True,0.1829299999990326,0.8321710000018356,367975,38180,14019,301871
128,128,128,False,True,0.19288699999742676,0.8399899999967602,366140,38298,13408,300822
128,128,128,False,True,0.20303200000125798,0.8176850000018021,364295,37995,13857,299030
128,128,128,False,True,0.20031700000254204,0.7934639999984938,364661,37848,14151,299700
128,128,128,False,True,0.18636700000206474,0.8221310000008089,366407,37430,14237,301069
128,128,128,False,True,0.2105279999996128,0.8422440000031202,366224,38297,13907,300746
128,128,128,False,True,0.20281299999987823,0.8107959999979357,363341,38037,13823,299003
128,128,128,False,True,0.21078299999862793,0.8283690000025672,370280,38055,14470,304309
128,128,128,False,True,0.18215699999927892,0.8584069999997155,365450,38160,13608,299742
128,128,128,False,True,0.19400300000052084,0.8319230000015523,368257,38475,13753,302290
128,128,128,False,True,0.18091500000082306,0.8474260000002687,365525,37588,14437,299462
128,128,128,False,True,0.20749200000136625,0.8594150000026275,365732,37900,14105,300680
128,128,128,False,True,0.20141900000089663,0.8703710000008869,364852,38075,13584,299398
128,128,128,False,True,0.1812580000005255,0.8590680000015709,364810,37825,13995,299879
128,128,128,False,True,0.19165699999939534,0.8651759999993374,367745,38084,13909,302079
128,128,128,False,True,0.20669700000144076,0.8432880000000296,367304,38340,14029,302253
128,128,128,False,True,0.19166199999745004,0.8432900000007066,365941,38597,13760,300304
128,128,128,False,True,0.18066600000020117,0.869354000002204,365327,38178,14504,299964
128,128,128,False,True,0.18830700000034994,0.8283460000020568,366404,38232,13741,300729
128,128,128,False,True,0.18524499999693944,0.8784449999984645,368999,38365,14308,303672
128,128,128,False,True,0.2005650000028254,0.8313869999983581,369638,37254,14318,303710
128,128,128,False,True,0.2024989999990794,0.8692769999979646,367709,38517,13607,301756
128,128,128,False,True,0.18480400000044028,0.8405820000007225,366512,37925,14286,301076
128,128,128,False,True,0.18346099999689613,0.8608009999989008,365254,38312,13257,300694
128,128,128,False,True,0.18065999999816995,0.8780900000019756,365740,37419,14348,300458
128,128,128,False,True,0.20086599999922328,0.8443490000026941,366083,38675,13536,299780
128,128,128,False,True,0.1978209999979299,0.7961910000012722,364354,37152,15048,298806
128,128,128,False,True,0.1887700000006589,0.8619240000007267,367181,38288,13564,301908
128,128,128,False,True,0.19237499999871943,0.8316139999988081,366260,38216,14062,300647
128,128,128,False,True,0.20608400000128313,0.8687369999970542,366488,38397,13685,300407
128,128,128,False,True,0.2199380000020028,0.8507529999988037,365126,38165,13683,300081
128,128,128,False,True,0.18763899999976275,0.8917890000011539,369494,38151,14208,303213
128,128,128,False,True,0.20973700000104145,0.8856830000004265,366935,37974,13951,300711
128,128,128,False,True,0.2036050000024261,0.8349620000008144,363353,37728,13946,298696
128,128,128,False,True,0.22003400000176043,0.8183739999985846,366917,37843,14014,302148
