info function time diff
device_init init_hero_device 23.655245000 1.183531000
offload_wait __tgt_rtl_run_target_team_region 24.838776000 0.005076000
offload_return __tgt_rtl_run_target_team_region 24.843852000 70.713155000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 95.557007000 0.166111000
enter_omp-gemm-128-128-128 dgemm_nt_kern 95.723118000 0.014074000
offload_wait __tgt_rtl_run_target_team_region 95.737192000 0.015176000
offload_return __tgt_rtl_run_target_team_region 95.752368000 0.014292000
data_out_copy-gemm-128-128-128 dgemm_nt_kern 95.766660000 0.078106000
exit_omp-128-128-128 dgemm_nt_kern 95.844766000 1.467431000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 97.312197000 0.123237000
enter_omp-gemm-128-128-128 dgemm_nt_kern 97.435434000 0.016242000
offload_wait __tgt_rtl_run_target_team_region 97.451676000 0.014707000
offload_return __tgt_rtl_run_target_team_region 97.466383000 0.015432000
data_out_copy-gemm-128-128-128 dgemm_nt_kern 97.481815000 0.068735000
exit_omp-128-128-128 dgemm_nt_kern 97.550550000 1.464073000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 99.014623000 0.095627000
enter_omp-gemm-128-128-128 dgemm_nt_kern 99.110250000 0.013010000
offload_wait __tgt_rtl_run_target_team_region 99.123260000 0.017236000
offload_return __tgt_rtl_run_target_team_region 99.140496000 0.012789000
data_out_copy-gemm-128-128-128 dgemm_nt_kern 99.153285000 0.027069000
exit_omp-128-128-128 dgemm_nt_kern 99.180354000 1.266388000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 100.446742000 0.092337000
enter_omp-gemm-128-128-128 dgemm_nt_kern 100.539079000 0.014938000
offload_wait __tgt_rtl_run_target_team_region 100.554017000 0.014976000
offload_return __tgt_rtl_run_target_team_region 100.568993000 0.015025000
data_out_copy-gemm-128-128-128 dgemm_nt_kern 100.584018000 0.031157000
exit_omp-128-128-128 dgemm_nt_kern 100.615175000 1.272772000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 101.887947000 0.095079000
enter_omp-gemm-128-128-128 dgemm_nt_kern 101.983026000 0.012897000
offload_wait __tgt_rtl_run_target_team_region 101.995923000 0.016356000
offload_return __tgt_rtl_run_target_team_region 102.012279000 0.013159000
data_out_copy-gemm-128-128-128 dgemm_nt_kern 102.025438000 0.026674000
exit_omp-128-128-128 dgemm_nt_kern 102.052112000 1.300915000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 103.353027000 0.102925000
enter_omp-gemm-128-128-128 dgemm_nt_kern 103.455952000 0.015367000
offload_wait __tgt_rtl_run_target_team_region 103.471319000 0.017405000
offload_return __tgt_rtl_run_target_team_region 103.488724000 0.013794000
data_out_copy-gemm-128-128-128 dgemm_nt_kern 103.502518000 0.027152000
exit_omp-128-128-128 dgemm_nt_kern 103.529670000 1.312644000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 104.842314000 0.096534000
enter_omp-gemm-128-128-128 dgemm_nt_kern 104.938848000 0.015731000
offload_wait __tgt_rtl_run_target_team_region 104.954579000 0.013913000
offload_return __tgt_rtl_run_target_team_region 104.968492000 0.017278000
data_out_copy-gemm-128-128-128 dgemm_nt_kern 104.985770000 0.024735000
exit_omp-128-128-128 dgemm_nt_kern 105.010505000 1.269074000
data_in_copy-gemm-128-128-128 dgemm_nt_kern 106.279579000 0.103577000
enter_omp-gemm-128-128-128 dgemm_nt_kern 106.383156000 0.015350000
