m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
128,128,128,False,True,0.24870699999883072,0.9387160000005679,385191,45374,18985,304089
128,128,128,False,True,0.23844000000099186,0.8069949999990058,378214,42891,17607,301564
128,128,128,False,True,0.1518340000002354,0.8467129999989993,386740,47113,15022,307470
128,128,128,False,True,0.14924299999984214,0.8801060000005236,379316,42642,17685,303458
128,128,128,False,True,0.18446599999879254,0.8235869999989518,378733,47594,15513,299853
128,128,128,False,True,0.15578499999901396,0.8395349999991595,377066,44156,16452,301164
128,128,128,False,True,0.18108800000118208,0.8136519999970915,378802,48329,14974,299893
128,128,128,False,True,0.14852200000314042,0.8751769999980752,378271,43218,17380,301679
128,128,128,False,True,0.16326800000024377,0.8202170000004116,378941,48272,15016,300073
128,128,128,False,True,0.1520380000001751,0.8312839999998687,375631,43766,17546,298965
128,128,128,False,True,0.17731500000081724,0.7965880000010657,382078,47862,15328,302545
128,128,128,False,True,0.16992299999765237,0.8351509999993141,379234,42978,17053,303058
128,128,128,False,True,0.19964100000288454,0.8290499999966414,380465,48318,14725,302021
128,128,128,False,True,0.17454600000201026,0.8248189999976603,375697,43344,17170,299487
128,128,128,False,True,0.18784500000037951,0.8184260000016366,380974,47731,15186,302834
128,128,128,False,True,0.15155199999935576,0.852402999997139,375428,44032,16765,299241
128,128,128,False,True,0.18125299999883282,0.8363989999998012,377095,47755,15530,298645
128,128,128,False,True,0.18088699999862,0.8063580000016373,376812,44278,16235,300297
128,128,128,False,True,0.18943299999955343,0.790926000001491,384193,47375,15237,306324
128,128,128,False,True,0.16384199999811244,0.8443130000014207,377894,43693,17046,301180
128,128,128,False,True,0.1848600000012084,0.8242040000004636,379468,46936,16220,301049
128,128,128,False,True,0.15365599999859114,0.8153349999993225,377647,43361,16330,301599
128,128,128,False,True,0.1900969999987865,0.8552139999992505,378956,48282,14190,301328
128,128,128,False,True,0.15448300000207382,0.8437159999994037,376168,43413,17516,300476
128,128,128,False,True,0.15522300000156974,0.8441860000020824,379121,47895,15049,301000
128,128,128,False,True,0.15664800000013201,0.850815000001603,376799,44185,17505,300214
128,128,128,False,True,0.15906399999948917,0.8467789999995148,378226,48199,15109,298746
128,128,128,False,True,0.15922500000306172,0.8407780000015919,378594,43275,17126,301921
128,128,128,False,True,0.1639790000008361,0.8650840000009339,382556,48022,15283,304287
128,128,128,False,True,0.1364209999992454,0.8596710000019812,374967,42820,17361,299082
128,128,128,False,True,0.18004300000029616,0.8335399999996298,378103,47429,14805,300008
128,128,128,False,True,0.15619099999821628,0.8323869999985618,377738,44297,16886,301913
128,128,128,False,True,0.2106080000012298,0.8270830000001297,381979,47189,15105,302874
128,128,128,False,True,0.15607699999964098,0.8680249999997613,379731,43270,17255,303767
128,128,128,False,True,0.1586730000017269,0.8381120000012743,379064,47390,15428,300745
128,128,128,False,True,0.15262000000075204,0.8389790000001085,380437,43341,16984,303514
128,128,128,False,True,0.16077600000062375,0.813970999999583,378814,48200,14859,301072
128,128,128,False,True,0.14816200000132085,0.8478260000010778,377783,44731,16074,301833
128,128,128,False,True,0.1659590000017488,0.8494109999992361,381409,48274,15199,302660
128,128,128,False,True,0.14953999999852385,0.8575009999985923,381017,43011,17602,304542
128,128,128,False,True,0.17314400000032037,0.8189689999999246,378227,47335,15683,300766
128,128,128,False,True,0.18294200000309502,0.7907279999999446,379691,42660,17540,303715
128,128,128,False,True,0.15193899999940186,0.8253370000020368,380760,47149,15189,302163
128,128,128,False,True,0.17772100000001956,0.8062120000031427,375712,43284,17000,299150
128,128,128,False,True,0.14453599999978906,0.8097420000012789,381713,48237,14731,302355
128,128,128,False,True,0.18840600000112318,0.8178610000031767,379672,44162,16633,302927
128,128,128,False,True,0.18432000000029802,0.8245530000021972,378139,48040,14704,299468
128,128,128,False,True,0.19211899999936577,0.8199180000010529,376634,42169,17944,299798
128,128,128,False,True,0.16245700000217767,0.8172630000008212,380407,47582,15022,301218
128,128,128,False,True,0.17034399999829475,0.8342420000008133,376512,42385,17391,300559
