info function time diff
device_init init_hero_device 24.035050000 1.180318000
offload_wait __tgt_rtl_run_target_team_region 25.215368000 0.002511000
offload_return __tgt_rtl_run_target_team_region 25.217879000 71.912253000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 97.130132000 0.146394000
enter_omp-gemm-128-128-128 dgemm_nt_kern 97.276526000 0.037377000
offload_wait __tgt_rtl_run_target_team_region 97.313903000 0.017054000
offload_return __tgt_rtl_run_target_team_region 97.330957000 0.015354000
exit_omp-128-128-128 dgemm_nt_kern 97.346311000 1.437628000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 98.783939000 0.145307000
enter_omp-gemm-128-128-128 dgemm_nt_kern 98.929246000 0.029331000
offload_wait __tgt_rtl_run_target_team_region 98.958577000 0.010977000
offload_return __tgt_rtl_run_target_team_region 98.969554000 0.019485000
exit_omp-128-128-128 dgemm_nt_kern 98.989039000 1.449113000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 100.438152000 0.077812000
enter_omp-gemm-128-128-128 dgemm_nt_kern 100.515964000 0.021348000
offload_wait __tgt_rtl_run_target_team_region 100.537312000 0.014256000
offload_return __tgt_rtl_run_target_team_region 100.551568000 0.018609000
exit_omp-128-128-128 dgemm_nt_kern 100.570177000 1.322812000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 101.892989000 0.076444000
enter_omp-gemm-128-128-128 dgemm_nt_kern 101.969433000 0.020587000
offload_wait __tgt_rtl_run_target_team_region 101.990020000 0.018296000
offload_return __tgt_rtl_run_target_team_region 102.008316000 0.014467000
exit_omp-128-128-128 dgemm_nt_kern 102.022783000 1.298060000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 103.320843000 0.082911000
enter_omp-gemm-128-128-128 dgemm_nt_kern 103.403754000 0.028837000
offload_wait __tgt_rtl_run_target_team_region 103.432591000 0.018224000
offload_return __tgt_rtl_run_target_team_region 103.450815000 0.014866000
exit_omp-128-128-128 dgemm_nt_kern 103.465681000 1.292560000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 104.758241000 0.073164000
enter_omp-gemm-128-128-128 dgemm_nt_kern 104.831405000 0.020713000
offload_wait __tgt_rtl_run_target_team_region 104.852118000 0.015754000
offload_return __tgt_rtl_run_target_team_region 104.867872000 0.014785000
exit_omp-128-128-128 dgemm_nt_kern 104.882657000 1.312870000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 106.195527000 0.088101000
enter_omp-gemm-128-128-128 dgemm_nt_kern 106.283628000 0.022230000
offload_wait __tgt_rtl_run_target_team_region 106.305858000 0.019099000
offload_return __tgt_rtl_run_target_team_region 106.324957000 0.018209000
exit_omp-128-128-128 dgemm_nt_kern 106.343166000 1.312804000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 107.655970000 0.073370000
enter_omp-gemm-128-128-128 dgemm_nt_kern 107.729340000 0.020626000
offload_wait __tgt_rtl_run_target_team_region 107.749966000 0.016416000
offload_return __tgt_rtl_run_target_team_region 107.766382000 0.014517000
exit_omp-128-128-128 dgemm_nt_kern 107.780899000 1.322805000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 109.103704000 0.082813000
enter_omp-gemm-128-128-128 dgemm_nt_kern 109.186517000 0.021208000
offload_wait __tgt_rtl_run_target_team_region 109.207725000 0.018071000
offload_return __tgt_rtl_run_target_team_region 109.225796000 0.014756000
exit_omp-128-128-128 dgemm_nt_kern 109.240552000 1.297749000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 110.538301000 0.076807000
enter_omp-gemm-128-128-128 dgemm_nt_kern 110.615108000 0.022107000
offload_wait __tgt_rtl_run_target_team_region 110.637215000 0.016281000
offload_return __tgt_rtl_run_target_team_region 110.653496000 0.014700000
exit_omp-128-128-128 dgemm_nt_kern 110.668196000 1.298319000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 111.966515000 0.078778000
enter_omp-gemm-128-128-128 dgemm_nt_kern 112.045293000 0.021858000
offload_wait __tgt_rtl_run_target_team_region 112.067151000 0.018387000
offload_return __tgt_rtl_run_target_team_region 112.085538000 0.014817000
exit_omp-128-128-128 dgemm_nt_kern 112.100355000 1.299137000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 113.399492000 0.082287000
enter_omp-gemm-128-128-128 dgemm_nt_kern 113.481779000 0.021407000
offload_wait __tgt_rtl_run_target_team_region 113.503186000 0.018245000
offload_return __tgt_rtl_run_target_team_region 113.521431000 0.014865000
exit_omp-128-128-128 dgemm_nt_kern 113.536296000 1.290543000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 114.826839000 0.097514000
enter_omp-gemm-128-128-128 dgemm_nt_kern 114.924353000 0.023274000
offload_wait __tgt_rtl_run_target_team_region 114.947627000 0.016363000
offload_return __tgt_rtl_run_target_team_region 114.963990000 0.016868000
exit_omp-128-128-128 dgemm_nt_kern 114.980858000 1.289177000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 116.270035000 0.093126000
enter_omp-gemm-128-128-128 dgemm_nt_kern 116.363161000 0.025191000
offload_wait __tgt_rtl_run_target_team_region 116.388352000 0.014882000
offload_return __tgt_rtl_run_target_team_region 116.403234000 0.017790000
exit_omp-128-128-128 dgemm_nt_kern 116.421024000 1.278019000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 117.699043000 0.084143000
enter_omp-gemm-128-128-128 dgemm_nt_kern 117.783186000 0.021486000
offload_wait __tgt_rtl_run_target_team_region 117.804672000 0.017934000
offload_return __tgt_rtl_run_target_team_region 117.822606000 0.015213000
exit_omp-128-128-128 dgemm_nt_kern 117.837819000 1.303683000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 119.141502000 0.077603000
enter_omp-gemm-128-128-128 dgemm_nt_kern 119.219105000 0.021117000
offload_wait __tgt_rtl_run_target_team_region 119.240222000 0.015706000
offload_return __tgt_rtl_run_target_team_region 119.255928000 0.016751000
exit_omp-128-128-128 dgemm_nt_kern 119.272679000 1.308136000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 120.580815000 0.091118000
enter_omp-gemm-128-128-128 dgemm_nt_kern 120.671933000 0.026030000
offload_wait __tgt_rtl_run_target_team_region 120.697963000 0.014302000
offload_return __tgt_rtl_run_target_team_region 120.712265000 0.020016000
exit_omp-128-128-128 dgemm_nt_kern 120.732281000 1.287705000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 122.019986000 0.076721000
enter_omp-gemm-128-128-128 dgemm_nt_kern 122.096707000 0.022916000
offload_wait __tgt_rtl_run_target_team_region 122.119623000 0.019246000
offload_return __tgt_rtl_run_target_team_region 122.138869000 0.016937000
exit_omp-128-128-128 dgemm_nt_kern 122.155806000 1.292876000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 123.448682000 0.090877000
enter_omp-gemm-128-128-128 dgemm_nt_kern 123.539559000 0.025969000
offload_wait __tgt_rtl_run_target_team_region 123.565528000 0.014235000
offload_return __tgt_rtl_run_target_team_region 123.579763000 0.016880000
exit_omp-128-128-128 dgemm_nt_kern 123.596643000 1.288697000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 124.885340000 0.074482000
enter_omp-gemm-128-128-128 dgemm_nt_kern 124.959822000 0.034037000
offload_wait __tgt_rtl_run_target_team_region 124.993859000 0.017577000
offload_return __tgt_rtl_run_target_team_region 125.011436000 0.017301000
exit_omp-128-128-128 dgemm_nt_kern 125.028737000 1.305132000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 126.333869000 0.079343000
enter_omp-gemm-128-128-128 dgemm_nt_kern 126.413212000 0.020945000
offload_wait __tgt_rtl_run_target_team_region 126.434157000 0.026954000
offload_return __tgt_rtl_run_target_team_region 126.461111000 0.028557000
exit_omp-128-128-128 dgemm_nt_kern 126.489668000 1.278524000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 127.768192000 0.079316000
enter_omp-gemm-128-128-128 dgemm_nt_kern 127.847508000 0.022660000
offload_wait __tgt_rtl_run_target_team_region 127.870168000 0.016978000
offload_return __tgt_rtl_run_target_team_region 127.887146000 0.016926000
exit_omp-128-128-128 dgemm_nt_kern 127.904072000 1.318276000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 129.222348000 0.079439000
enter_omp-gemm-128-128-128 dgemm_nt_kern 129.301787000 0.020824000
offload_wait __tgt_rtl_run_target_team_region 129.322611000 0.018463000
offload_return __tgt_rtl_run_target_team_region 129.341074000 0.043869000
exit_omp-128-128-128 dgemm_nt_kern 129.384943000 1.280954000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 130.665897000 0.076726000
enter_omp-gemm-128-128-128 dgemm_nt_kern 130.742623000 0.021439000
offload_wait __tgt_rtl_run_target_team_region 130.764062000 0.018938000
offload_return __tgt_rtl_run_target_team_region 130.783000000 0.014717000
exit_omp-128-128-128 dgemm_nt_kern 130.797717000 1.324443000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 132.122160000 0.076209000
enter_omp-gemm-128-128-128 dgemm_nt_kern 132.198369000 0.020799000
offload_wait __tgt_rtl_run_target_team_region 132.219168000 0.018129000
offload_return __tgt_rtl_run_target_team_region 132.237297000 0.015079000
exit_omp-128-128-128 dgemm_nt_kern 132.252376000 1.309725000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 133.562101000 0.080265000
enter_omp-gemm-128-128-128 dgemm_nt_kern 133.642366000 0.021016000
offload_wait __tgt_rtl_run_target_team_region 133.663382000 0.016522000
offload_return __tgt_rtl_run_target_team_region 133.679904000 0.018435000
exit_omp-128-128-128 dgemm_nt_kern 133.698339000 1.312866000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 135.011205000 0.076098000
enter_omp-gemm-128-128-128 dgemm_nt_kern 135.087303000 0.022526000
offload_wait __tgt_rtl_run_target_team_region 135.109829000 0.014618000
offload_return __tgt_rtl_run_target_team_region 135.124447000 0.023836000
exit_omp-128-128-128 dgemm_nt_kern 135.148283000 1.303291000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 136.451574000 0.076122000
enter_omp-gemm-128-128-128 dgemm_nt_kern 136.527696000 0.025932000
offload_wait __tgt_rtl_run_target_team_region 136.553628000 0.018434000
offload_return __tgt_rtl_run_target_team_region 136.572062000 0.014839000
exit_omp-128-128-128 dgemm_nt_kern 136.586901000 1.328499000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 137.915400000 0.072865000
enter_omp-gemm-128-128-128 dgemm_nt_kern 137.988265000 0.036887000
offload_wait __tgt_rtl_run_target_team_region 138.025152000 0.014760000
offload_return __tgt_rtl_run_target_team_region 138.039912000 0.017248000
exit_omp-128-128-128 dgemm_nt_kern 138.057160000 1.314695000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 139.371855000 0.067004000
enter_omp-gemm-128-128-128 dgemm_nt_kern 139.438859000 0.020768000
offload_wait __tgt_rtl_run_target_team_region 139.459627000 0.013863000
offload_return __tgt_rtl_run_target_team_region 139.473490000 0.017993000
exit_omp-128-128-128 dgemm_nt_kern 139.491483000 1.318493000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 140.809976000 0.091332000
enter_omp-gemm-128-128-128 dgemm_nt_kern 140.901308000 0.022885000
offload_wait __tgt_rtl_run_target_team_region 140.924193000 0.018784000
offload_return __tgt_rtl_run_target_team_region 140.942977000 0.017132000
exit_omp-128-128-128 dgemm_nt_kern 140.960109000 1.305726000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 142.265835000 0.078589000
enter_omp-gemm-128-128-128 dgemm_nt_kern 142.344424000 0.022807000
offload_wait __tgt_rtl_run_target_team_region 142.367231000 0.016033000
offload_return __tgt_rtl_run_target_team_region 142.383264000 0.016860000
exit_omp-128-128-128 dgemm_nt_kern 142.400124000 1.309476000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 143.709600000 0.081660000
enter_omp-gemm-128-128-128 dgemm_nt_kern 143.791260000 0.044800000
offload_wait __tgt_rtl_run_target_team_region 143.836060000 0.025053000
offload_return __tgt_rtl_run_target_team_region 143.861113000 0.024651000
exit_omp-128-128-128 dgemm_nt_kern 143.885764000 1.300780000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 145.186544000 0.077734000
enter_omp-gemm-128-128-128 dgemm_nt_kern 145.264278000 0.021198000
offload_wait __tgt_rtl_run_target_team_region 145.285476000 0.017811000
offload_return __tgt_rtl_run_target_team_region 145.303287000 0.014865000
exit_omp-128-128-128 dgemm_nt_kern 145.318152000 1.305876000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 146.624028000 0.077688000
enter_omp-gemm-128-128-128 dgemm_nt_kern 146.701716000 0.021755000
offload_wait __tgt_rtl_run_target_team_region 146.723471000 0.017929000
offload_return __tgt_rtl_run_target_team_region 146.741400000 0.019332000
exit_omp-128-128-128 dgemm_nt_kern 146.760732000 1.295147000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 148.055879000 0.078557000
enter_omp-gemm-128-128-128 dgemm_nt_kern 148.134436000 0.020837000
offload_wait __tgt_rtl_run_target_team_region 148.155273000 0.016571000
offload_return __tgt_rtl_run_target_team_region 148.171844000 0.018539000
exit_omp-128-128-128 dgemm_nt_kern 148.190383000 1.284161000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 149.474544000 0.078149000
enter_omp-gemm-128-128-128 dgemm_nt_kern 149.552693000 0.022254000
offload_wait __tgt_rtl_run_target_team_region 149.574947000 0.016296000
offload_return __tgt_rtl_run_target_team_region 149.591243000 0.021898000
exit_omp-128-128-128 dgemm_nt_kern 149.613141000 1.315696000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 150.928837000 0.074145000
enter_omp-gemm-128-128-128 dgemm_nt_kern 151.002982000 0.020550000
offload_wait __tgt_rtl_run_target_team_region 151.023532000 0.016160000
offload_return __tgt_rtl_run_target_team_region 151.039692000 0.014508000
exit_omp-128-128-128 dgemm_nt_kern 151.054200000 1.304903000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 152.359103000 0.084893000
enter_omp-gemm-128-128-128 dgemm_nt_kern 152.443996000 0.021718000
offload_wait __tgt_rtl_run_target_team_region 152.465714000 0.018437000
offload_return __tgt_rtl_run_target_team_region 152.484151000 0.014857000
exit_omp-128-128-128 dgemm_nt_kern 152.499008000 1.326708000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 153.825716000 0.076099000
enter_omp-gemm-128-128-128 dgemm_nt_kern 153.901815000 0.020655000
offload_wait __tgt_rtl_run_target_team_region 153.922470000 0.018014000
offload_return __tgt_rtl_run_target_team_region 153.940484000 0.014929000
exit_omp-128-128-128 dgemm_nt_kern 153.955413000 1.292227000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 155.247640000 0.079689000
enter_omp-gemm-128-128-128 dgemm_nt_kern 155.327329000 0.021948000
offload_wait __tgt_rtl_run_target_team_region 155.349277000 0.019669000
offload_return __tgt_rtl_run_target_team_region 155.368946000 0.018437000
exit_omp-128-128-128 dgemm_nt_kern 155.387383000 1.275204000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 156.662587000 0.085314000
enter_omp-gemm-128-128-128 dgemm_nt_kern 156.747901000 0.025271000
offload_wait __tgt_rtl_run_target_team_region 156.773172000 0.014795000
offload_return __tgt_rtl_run_target_team_region 156.787967000 0.017320000
exit_omp-128-128-128 dgemm_nt_kern 156.805287000 1.277384000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 158.082671000 0.078350000
enter_omp-gemm-128-128-128 dgemm_nt_kern 158.161021000 0.021295000
offload_wait __tgt_rtl_run_target_team_region 158.182316000 0.015743000
offload_return __tgt_rtl_run_target_team_region 158.198059000 0.014901000
exit_omp-128-128-128 dgemm_nt_kern 158.212960000 1.316794000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 159.529754000 0.070020000
enter_omp-gemm-128-128-128 dgemm_nt_kern 159.599774000 0.022463000
offload_wait __tgt_rtl_run_target_team_region 159.622237000 0.016447000
offload_return __tgt_rtl_run_target_team_region 159.638684000 0.023401000
exit_omp-128-128-128 dgemm_nt_kern 159.662085000 1.268849000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 160.930934000 0.073390000
enter_omp-gemm-128-128-128 dgemm_nt_kern 161.004324000 0.021255000
offload_wait __tgt_rtl_run_target_team_region 161.025579000 0.017967000
offload_return __tgt_rtl_run_target_team_region 161.043546000 0.014496000
exit_omp-128-128-128 dgemm_nt_kern 161.058042000 1.322397000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 162.380439000 0.097896000
enter_omp-gemm-128-128-128 dgemm_nt_kern 162.478335000 0.023428000
offload_wait __tgt_rtl_run_target_team_region 162.501763000 0.016796000
offload_return __tgt_rtl_run_target_team_region 162.518559000 0.014827000
exit_omp-128-128-128 dgemm_nt_kern 162.533386000 1.289928000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 163.823314000 0.080712000
enter_omp-gemm-128-128-128 dgemm_nt_kern 163.904026000 0.021177000
offload_wait __tgt_rtl_run_target_team_region 163.925203000 0.016292000
offload_return __tgt_rtl_run_target_team_region 163.941495000 0.025286000
exit_omp-128-128-128 dgemm_nt_kern 163.966781000 1.286253000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 165.253034000 0.098945000
enter_omp-gemm-128-128-128 dgemm_nt_kern 165.351979000 0.025376000
offload_wait __tgt_rtl_run_target_team_region 165.377355000 0.014756000
offload_return __tgt_rtl_run_target_team_region 165.392111000 0.017258000
exit_omp-128-128-128 dgemm_nt_kern 165.409369000 1.282811000
data_in_copy_map-gemm-128-128-12dgemm_nt_kern dgemm_nt_kern 166.692180000 0.083527000
enter_omp-gemm-128-128-128 dgemm_nt_kern 166.775707000 0.021299000
offload_wait __tgt_rtl_run_target_team_region 166.797006000 0.015908000
