info function time diff
device_init init_hero_device 23.795543000 1.122451000
offload_wait __tgt_rtl_run_target_team_region 24.917994000 0.002499000
offload_return __tgt_rtl_run_target_team_region 24.920493000 70.403512000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 95.324005000 0.596884000
enter_omp-gemm-256-256-256 dgemm_nt_kern 95.920889000 0.013613000
offload_wait __tgt_rtl_run_target_team_region 95.934502000 0.082661000
offload_return __tgt_rtl_run_target_team_region 96.017163000 0.010594000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 96.027757000 0.322687000
exit_omp-256-256-256 dgemm_nt_kern 96.350444000 8.530605000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 104.881049000 0.372589000
enter_omp-gemm-256-256-256 dgemm_nt_kern 105.253638000 0.013396000
offload_wait __tgt_rtl_run_target_team_region 105.267034000 0.088461000
offload_return __tgt_rtl_run_target_team_region 105.355495000 0.010115000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 105.365610000 0.243106000
exit_omp-256-256-256 dgemm_nt_kern 105.608716000 8.254722000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 113.863438000 0.306553000
enter_omp-gemm-256-256-256 dgemm_nt_kern 114.169991000 0.015441000
offload_wait __tgt_rtl_run_target_team_region 114.185432000 0.088901000
offload_return __tgt_rtl_run_target_team_region 114.274333000 0.010175000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 114.284508000 0.101821000
exit_omp-256-256-256 dgemm_nt_kern 114.386329000 8.057213000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 122.443542000 0.395771000
enter_omp-gemm-256-256-256 dgemm_nt_kern 122.839313000 0.015324000
offload_wait __tgt_rtl_run_target_team_region 122.854637000 0.089486000
offload_return __tgt_rtl_run_target_team_region 122.944123000 0.010564000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 122.954687000 0.319246000
exit_omp-256-256-256 dgemm_nt_kern 123.273933000 8.224735000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 131.498668000 0.317378000
enter_omp-gemm-256-256-256 dgemm_nt_kern 131.816046000 0.012986000
offload_wait __tgt_rtl_run_target_team_region 131.829032000 0.085142000
offload_return __tgt_rtl_run_target_team_region 131.914174000 0.010156000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 131.924330000 0.109518000
exit_omp-256-256-256 dgemm_nt_kern 132.033848000 8.114298000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 140.148146000 0.410760000
enter_omp-gemm-256-256-256 dgemm_nt_kern 140.558906000 0.017556000
offload_wait __tgt_rtl_run_target_team_region 140.576462000 0.085901000
offload_return __tgt_rtl_run_target_team_region 140.662363000 0.010162000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 140.672525000 0.314875000
exit_omp-256-256-256 dgemm_nt_kern 140.987400000 8.293981000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 149.281381000 0.315054000
enter_omp-gemm-256-256-256 dgemm_nt_kern 149.596435000 0.014946000
offload_wait __tgt_rtl_run_target_team_region 149.611381000 0.088792000
offload_return __tgt_rtl_run_target_team_region 149.700173000 0.010164000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 149.710337000 0.109312000
exit_omp-256-256-256 dgemm_nt_kern 149.819649000 8.136559000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 157.956208000 0.386403000
enter_omp-gemm-256-256-256 dgemm_nt_kern 158.342611000 0.015827000
offload_wait __tgt_rtl_run_target_team_region 158.358438000 0.088762000
offload_return __tgt_rtl_run_target_team_region 158.447200000 0.010539000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 158.457739000 0.330462000
exit_omp-256-256-256 dgemm_nt_kern 158.788201000 8.311343000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 167.099544000 0.331446000
enter_omp-gemm-256-256-256 dgemm_nt_kern 167.430990000 0.015083000
offload_wait __tgt_rtl_run_target_team_region 167.446073000 0.081388000
offload_return __tgt_rtl_run_target_team_region 167.527461000 0.010157000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 167.537618000 0.105093000
exit_omp-256-256-256 dgemm_nt_kern 167.642711000 8.135204000
data_in_copy-gemm-256-256-256 dgemm_nt_kern 175.777915000 0.371166000
enter_omp-gemm-256-256-256 dgemm_nt_kern 176.149081000 0.014419000
offload_wait __tgt_rtl_run_target_team_region 176.163500000 0.092387000
offload_return __tgt_rtl_run_target_team_region 176.255887000 0.011376000
data_out_copy-gemm-256-256-256 dgemm_nt_kern 176.267263000 0.329605000
exit_omp-256-256-256 dgemm_nt_kern 176.596868000 0.329605000
