m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
256,256,256,False,False,0.508192999999892,6.921199999999999,2744617,219395,37154,2403144
256,256,256,False,False,0.519474000000173,6.542975999999953,2738079,216783,32494,2402149
256,256,256,False,False,0.3388769999999113,6.539084000000003,2744069,223055,31606,2404481
256,256,256,False,False,0.5120090000000346,6.779929000000038,2739199,219623,33144,2401274
256,256,256,False,False,0.3208720000000085,6.664347000000134,2735750,219963,32064,2399907
256,256,256,False,False,0.5257500000000164,6.7803519999999935,2736445,220107,32582,2400211
256,256,256,False,False,0.3246159999998781,6.534499000000096,2745629,220169,33129,2408126
256,256,256,False,False,0.5219759999999951,6.703084999999874,2740203,216429,34024,2404561
256,256,256,False,False,0.33340499999985695,6.42119700000012,2746091,222662,32567,2405913
256,256,256,False,False,0.5122109999999793,6.692524999999932,2735781,217557,31731,2401659
