info function time diff
device_init init_hero_device 23.686206000 1.157448000
offload_wait __tgt_rtl_run_target_team_region 24.843654000 0.002514000
offload_return __tgt_rtl_run_target_team_region 24.846168000 77.660068000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 102.506236000 0.331451000
enter_omp-gemm-256-256-256 dgemm_nn_kern 102.837687000 0.017116000
offload_wait __tgt_rtl_run_target_team_region 102.854803000 0.091268000
offload_return __tgt_rtl_run_target_team_region 102.946071000 0.010590000
exit_omp-256-256-256 dgemm_nn_kern 102.956661000 8.351485000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 111.308146000 0.339757000
enter_omp-gemm-256-256-256 dgemm_nn_kern 111.647903000 0.016266000
offload_wait __tgt_rtl_run_target_team_region 111.664169000 0.088744000
offload_return __tgt_rtl_run_target_team_region 111.752913000 0.010638000
exit_omp-256-256-256 dgemm_nn_kern 111.763551000 8.194272000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 119.957823000 0.162914000
enter_omp-gemm-256-256-256 dgemm_nn_kern 120.120737000 0.016362000
offload_wait __tgt_rtl_run_target_team_region 120.137099000 0.091256000
offload_return __tgt_rtl_run_target_team_region 120.228355000 0.010805000
exit_omp-256-256-256 dgemm_nn_kern 120.239160000 8.463820000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 128.702980000 0.325811000
enter_omp-gemm-256-256-256 dgemm_nn_kern 129.028791000 0.019940000
offload_wait __tgt_rtl_run_target_team_region 129.048731000 0.091097000
offload_return __tgt_rtl_run_target_team_region 129.139828000 0.014938000
exit_omp-256-256-256 dgemm_nn_kern 129.154766000 8.298247000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 137.453013000 0.159715000
enter_omp-gemm-256-256-256 dgemm_nn_kern 137.612728000 0.013897000
offload_wait __tgt_rtl_run_target_team_region 137.626625000 0.087699000
offload_return __tgt_rtl_run_target_team_region 137.714324000 0.010225000
exit_omp-256-256-256 dgemm_nn_kern 137.724549000 8.437701000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 146.162250000 0.341683000
enter_omp-gemm-256-256-256 dgemm_nn_kern 146.503933000 0.017539000
offload_wait __tgt_rtl_run_target_team_region 146.521472000 0.094498000
offload_return __tgt_rtl_run_target_team_region 146.615970000 0.010125000
exit_omp-256-256-256 dgemm_nn_kern 146.626095000 8.205934000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 154.832029000 0.155608000
enter_omp-gemm-256-256-256 dgemm_nn_kern 154.987637000 0.016583000
offload_wait __tgt_rtl_run_target_team_region 155.004220000 0.092249000
offload_return __tgt_rtl_run_target_team_region 155.096469000 0.010522000
exit_omp-256-256-256 dgemm_nn_kern 155.106991000 8.370250000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 163.477241000 0.343832000
enter_omp-gemm-256-256-256 dgemm_nn_kern 163.821073000 0.017554000
offload_wait __tgt_rtl_run_target_team_region 163.838627000 0.086845000
offload_return __tgt_rtl_run_target_team_region 163.925472000 0.010212000
exit_omp-256-256-256 dgemm_nn_kern 163.935684000 8.143966000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 172.079650000 0.162597000
enter_omp-gemm-256-256-256 dgemm_nn_kern 172.242247000 0.013450000
offload_wait __tgt_rtl_run_target_team_region 172.255697000 0.094987000
offload_return __tgt_rtl_run_target_team_region 172.350684000 0.010254000
exit_omp-256-256-256 dgemm_nn_kern 172.360938000 8.394126000
data_in_copy_map-gemm-256-256-25dgemm_nn_kern dgemm_nn_kern 180.755064000 0.329064000
enter_omp-gemm-256-256-256 dgemm_nn_kern 181.084128000 0.016447000
offload_wait __tgt_rtl_run_target_team_region 181.100575000 0.092545000
offload_return __tgt_rtl_run_target_team_region 181.193120000 0.010128000
exit_omp-256-256-256 dgemm_nn_kern 181.203248000 0.010128000
