m,n,k,transa,transb,dev_time,host_time,tot,dma,issue,compute
4,4,4,False,False,0.03458899999998266,0.010524000000032174,7287,57,4079,1084
4,4,4,False,True,0.027116999999975633,0.0024649999999155625,5554,125,2937,554
4,4,4,True,False,0.039791999999920336,0.005913999999961561,5822,122,2833,755
4,4,4,True,True,0.028096999999888794,0.003885000000082073,4859,89,1959,805
8,8,8,False,False,0.02815299999997478,0.0023529999999709617,4794,57,2176,552
8,8,8,False,True,0.026290999999901032,0.002554999999915708,5116,125,2341,712
8,8,8,True,False,0.02973599999995713,0.0026199999999789725,5096,122,2306,605
8,8,8,True,True,0.04502500000000964,0.002777000000037333,5113,123,2466,584
16,16,16,False,False,0.03088500000001204,0.004708999999934349,6366,499,2583,1200
16,16,16,False,True,0.03414999999995416,0.00603000000000975,5966,606,2159,1268
16,16,16,True,False,0.029920999999944797,0.0037399999999934153,6172,437,2521,1050
16,16,16,True,True,0.044433999999910156,0.00392900000008467,6178,508,2379,1165
32,32,32,False,False,0.036558000000013635,0.010892000000012558,13512,3248,2786,5462
32,32,32,False,True,0.03797399999996287,0.01115299999992203,13441,3386,2608,5431
32,32,32,True,False,0.030047999999965214,0.009074999999938882,12994,3249,2567,4959
32,32,32,True,True,0.029988000000003012,0.009355000000027758,13012,2829,2796,5252
64,64,64,False,False,0.05942300000003797,0.0560289999999668,62648,17499,5254,36403
64,64,64,False,True,0.053156999999941945,0.04475400000001173,64826,17489,5913,37481
64,64,64,True,False,0.0443960000000061,0.04498999999998432,62635,18183,4410,36188
64,64,64,True,True,0.04536200000006829,0.044827000000054795,64268,19130,4386,37260
128,128,128,False,False,0.16014900000004673,0.5177780000000212,364464,52552,8510,293905
128,128,128,False,True,0.11524399999996149,0.46297599999991235,373505,51733,8793,303137
128,128,128,True,False,0.12067400000000816,0.44887600000004113,358631,51257,8152,289271
128,128,128,True,True,0.10621500000002015,0.45164600000009614,366074,55237,7389,293894
256,256,256,False,False,0.5855090000000018,3.7630659999999807,2545574,163382,21414,2303195
256,256,256,False,True,0.40106700000001183,3.5832580000000007,2668976,151504,24684,2435379
256,256,256,True,False,0.4055789999999888,3.593174999999974,2558909,177699,20125,2302749
256,256,256,True,True,0.5160929999999553,3.6528580000000375,2595789,164747,23182,2349108
512,512,512,False,False,2.540937999999983,29.20834000000002,19557431,617250,63360,18498597
512,512,512,False,True,2.3493689999999106,29.231697999999938,20552260,621048,62053,19491994
512,512,512,True,False,2.347293000000036,29.03049199999998,19513365,647188,61833,18427608
512,512,512,True,True,1.8184069999999792,28.986077999999907,19815757,633315,61002,18747326
1024,1024,1024,False,False,12.649300999999923,232.84128799999996,153339837,2987647,223529,147233544
1024,1024,1024,False,True,12.036262999999963,232.7018559999999,162211964,2940364,223553,156164140
1024,1024,1024,True,False,11.640252999999802,232.79797599999984,153364256,3050649,270413,147157053
1024,1024,1024,True,True,9.760923999999932,230.27215800000022,156125492,2997695,223474,150039400
